route_name,distance_km,weather_level,port_congestion,geopolitical_risk,delay_days
Route_64,3686,Storm,High,Medium,9
Route_81,17098,Clear,Medium,High,10
Route_3,10004,Rain,High,Low,4
Route_60,5939,Storm,Low,Low,3
Route_54,13164,Clear,Medium,Medium,2
Route_82,4017,Rain,High,Low,4
Route_97,6976,Storm,Medium,High,9
Route_90,13379,Clear,High,High,8
Route_18,10721,Storm,Medium,Medium,2
Route_14,8639,Rain,High,Low,5
Route_79,5234,Cyclone,Medium,Low,4
Route_3,17212,Storm,Medium,High,7
Route_77,12708,Rain,High,Medium,4
Route_16,8786,Rain,High,Low,4
Route_17,8376,Rain,Low,Medium,2
Route_98,5160,Clear,Low,Medium,1
Route_6,7934,Clear,Low,High,9
Route_8,16870,Clear,Medium,Low,0
Route_39,1836,Clear,Low,High,6
Route_26,7554,Storm,Low,Low,3
Route_36,12897,Storm,Low,High,10
Route_65,3739,Clear,High,Low,5
Route_25,10735,Rain,High,Low,2
Route_65,17055,Storm,High,High,14
Route_24,13126,Cyclone,Medium,Low,8
Route_53,5197,Storm,Low,Medium,3
Route_18,17746,Storm,High,Medium,5
Route_42,17677,Clear,Medium,Medium,1
Route_77,11723,Cyclone,Low,High,13
Route_25,3780,Cyclone,High,Medium,9
Route_63,4946,Cyclone,Medium,High,17
Route_16,6197,Cyclone,Medium,High,13
Route_22,3620,Storm,Low,Medium,3
Route_52,5522,Rain,Medium,High,7
Route_98,10444,Cyclone,Medium,Medium,11
Route_52,17377,Storm,Low,Medium,1
Route_33,17534,Cyclone,Low,High,8
Route_95,3231,Clear,Medium,High,3
Route_49,12213,Rain,Medium,High,7
Route_98,4007,Cyclone,Medium,Low,8
Route_64,17564,Storm,High,Medium,5
Route_56,5403,Cyclone,Medium,Medium,11
Route_57,16562,Clear,Low,Low,2
Route_85,11430,Rain,Medium,Medium,0
Route_40,14249,Cyclone,Low,High,17
Route_71,16895,Cyclone,High,Low,11
Route_34,17710,Cyclone,High,High,15
Route_4,2978,Rain,Medium,Medium,2
Route_75,2381,Storm,Medium,Low,3
Route_46,14998,Storm,Low,High,5
Route_83,11726,Clear,High,Low,4
Route_44,7063,Clear,High,Medium,3
Route_85,15343,Cyclone,Medium,Low,10
Route_76,2228,Storm,Medium,High,9
Route_13,17502,Clear,High,High,9
Route_65,12626,Rain,High,Medium,5
Route_26,17784,Clear,High,Low,5
Route_7,11242,Cyclone,Low,High,14
Route_75,4604,Storm,Medium,Low,5
Route_61,15495,Rain,Medium,Low,2
Route_39,11327,Cyclone,High,High,16
Route_33,16351,Rain,Low,High,10
Route_24,17857,Rain,High,High,12
Route_69,15712,Clear,High,Low,5
Route_19,9376,Rain,High,High,11
Route_41,3611,Rain,Medium,Medium,1
Route_83,6762,Storm,High,High,10
Route_20,7788,Clear,Low,Medium,1
Route_63,15791,Cyclone,High,Low,9
Route_18,2454,Storm,Medium,High,9
Route_6,17420,Clear,Low,Low,1
Route_78,11264,Clear,Medium,Medium,2
Route_85,4459,Cyclone,High,Low,9
Route_95,17892,Clear,High,High,10
Route_31,5506,Storm,Medium,High,11
Route_96,9231,Cyclone,Low,Low,4
Route_28,10496,Cyclone,Medium,Medium,12
Route_8,17568,Storm,High,Low,8
Route_88,9572,Storm,Low,Medium,4
Route_48,11598,Clear,High,High,12
Route_7,9353,Storm,High,Medium,8
Route_16,9245,Cyclone,Medium,Low,8
Route_39,4457,Rain,Medium,Low,0
Route_57,11893,Cyclone,Low,Medium,10
Route_100,17611,Cyclone,High,Medium,16
Route_55,4789,Rain,High,Medium,3
Route_54,12207,Cyclone,High,Low,14
Route_83,7520,Cyclone,High,Low,9
Route_81,11512,Storm,High,Low,4
Route_67,5762,Cyclone,Medium,Medium,9
Route_18,10041,Rain,High,High,9
Route_11,15082,Storm,Low,Medium,4
Route_29,2179,Clear,High,High,7
Route_26,10078,Rain,Low,Medium,2
Route_55,10024,Rain,Low,Medium,0
Route_73,5345,Clear,High,High,13
Route_64,5383,Rain,High,Low,4
Route_37,17692,Cyclone,Low,Medium,10
Route_77,8563,Storm,High,High,11
Route_19,2442,Storm,Medium,Low,4
Route_32,13612,Cyclone,Low,Low,7
Route_42,14527,Rain,High,Medium,7
Route_77,9896,Clear,Low,High,3
Route_43,9195,Cyclone,Medium,High,18
Route_96,2991,Clear,Medium,High,8
Route_39,14433,Storm,Low,High,8
Route_34,7066,Cyclone,Medium,Medium,5
Route_41,15686,Rain,Medium,Low,1
Route_6,5690,Cyclone,Medium,High,13
Route_34,10142,Storm,Medium,Low,4
Route_63,6456,Cyclone,Low,Low,5
Route_30,7501,Clear,Medium,Medium,0
Route_91,16807,Cyclone,Low,Medium,5
Route_46,17399,Cyclone,Medium,Low,12
Route_19,5551,Storm,Low,Low,2
Route_22,10438,Rain,High,Low,4
Route_10,9566,Cyclone,High,Low,9
Route_88,5497,Cyclone,Medium,High,9
Route_4,4156,Cyclone,High,High,21
Route_77,1690,Storm,Low,High,10
Route_94,5737,Rain,Low,High,6
Route_8,3817,Cyclone,Low,Medium,6
Route_31,14571,Clear,Low,Low,0
Route_50,14685,Storm,High,High,9
Route_56,11661,Rain,Medium,High,4
Route_66,8049,Cyclone,Medium,Medium,8
Route_73,15363,Clear,Medium,Medium,2
Route_24,15724,Cyclone,Low,Low,9
Route_60,8847,Rain,Medium,High,10
Route_68,4251,Storm,Medium,Medium,2
Route_39,6369,Rain,High,Medium,5
Route_55,11182,Clear,High,Low,4
Route_14,15423,Cyclone,Low,Medium,11
Route_73,9802,Storm,Medium,High,8
Route_15,16667,Rain,Low,Medium,0
Route_11,15139,Storm,Medium,High,11
Route_58,10185,Storm,Low,Low,1
Route_96,9997,Clear,Medium,High,3
Route_51,5323,Clear,Low,High,7
Route_89,14774,Cyclone,Medium,High,18
Route_89,14443,Storm,Low,Low,1
Route_25,5167,Clear,High,Low,2
Route_62,6256,Rain,Medium,High,7
Route_12,11360,Cyclone,Low,Medium,7
Route_15,6942,Rain,High,High,12
Route_3,16229,Rain,Low,Medium,2
Route_51,3168,Storm,Low,Low,5
Route_56,15121,Cyclone,High,High,16
Route_52,17428,Cyclone,Low,High,11
Route_55,11849,Clear,Medium,High,7
Route_15,17713,Storm,Medium,High,5
Route_37,7798,Cyclone,Medium,Medium,7
Route_29,12613,Cyclone,Low,Medium,11
Route_50,15159,Storm,Medium,Low,3
Route_37,4324,Cyclone,Low,Low,5
Route_78,17627,Clear,Medium,Medium,1
Route_31,8362,Clear,Low,Medium,1
Route_46,6697,Rain,High,Low,3
Route_56,5234,Rain,Low,High,5
Route_34,12651,Storm,Low,High,8
Route_66,4912,Clear,Medium,Medium,0
Route_14,4838,Clear,High,Low,5
Route_16,8230,Storm,Low,High,11
Route_98,17831,Clear,Low,High,6
Route_18,5529,Rain,Medium,Medium,0
Route_32,17021,Storm,Medium,High,5
Route_48,15099,Storm,High,High,12
Route_30,6021,Cyclone,Medium,Medium,9
Route_88,13354,Clear,Medium,Low,0
Route_92,3780,Clear,Medium,Medium,1
Route_99,6884,Cyclone,Low,Medium,10
Route_85,6446,Clear,High,High,11
Route_88,11472,Storm,Medium,Low,4
Route_79,6312,Cyclone,Medium,High,14
Route_80,15988,Storm,High,Medium,5
Route_5,12460,Cyclone,High,High,21
Route_37,8503,Clear,High,High,12
Route_97,6743,Clear,Low,High,8
Route_31,11459,Cyclone,High,Low,12
Route_34,13115,Clear,Low,High,4
Route_39,1670,Cyclone,Medium,Low,12
Route_75,9162,Storm,Medium,Medium,5
Route_74,6086,Cyclone,High,High,14
Route_75,7809,Storm,Medium,Low,3
Route_55,15002,Clear,Low,Low,1
Route_17,17105,Rain,Medium,Low,1
Route_87,14697,Cyclone,Medium,High,16
Route_57,17541,Cyclone,Low,Low,8
Route_63,16498,Rain,High,High,10
Route_59,17010,Clear,High,Low,4
Route_78,14889,Clear,Low,Medium,2
Route_38,2819,Rain,Low,Medium,1
Route_48,11437,Storm,Medium,Low,1
Route_76,15320,Clear,Medium,Medium,0
Route_24,17516,Clear,Low,High,5
Route_6,15183,Cyclone,High,Medium,14
Route_49,17072,Rain,Low,High,9
Route_98,16243,Cyclone,Low,High,11
Route_86,14922,Cyclone,Low,Medium,8
Route_6,16019,Storm,High,Low,5
Route_81,11620,Clear,High,High,8
Route_70,3232,Rain,Medium,High,3
Route_85,7389,Clear,Medium,Low,0
Route_91,16056,Clear,High,High,12
Route_6,17604,Clear,Medium,Medium,0
Route_54,2288,Storm,Medium,Medium,1
Route_13,7010,Storm,Low,Low,2
Route_20,11553,Cyclone,High,Low,8
Route_4,3416,Storm,Medium,Low,2
Route_53,12123,Storm,Medium,Low,1
Route_31,9249,Cyclone,High,High,14
Route_41,16731,Cyclone,Low,Medium,5
Route_82,9159,Clear,Medium,High,9
Route_13,9571,Rain,Medium,High,7
Route_11,17898,Rain,Low,Medium,2
Route_22,9533,Cyclone,High,Medium,7
Route_80,10978,Rain,Low,Low,1
Route_35,9721,Cyclone,Medium,High,14
Route_37,2990,Rain,High,High,7
Route_51,5529,Rain,High,High,10
Route_79,11930,Storm,High,Medium,9
Route_32,12039,Storm,Low,Medium,4
Route_3,5881,Clear,High,Medium,2
Route_87,7186,Cyclone,High,High,22
Route_11,4040,Clear,High,Medium,3
Route_49,13229,Cyclone,Low,High,8
Route_48,7823,Cyclone,Low,Low,9
Route_98,10712,Storm,Low,Low,5
Route_39,8746,Rain,Medium,Medium,0
Route_36,17649,Rain,Low,Low,2
Route_51,5135,Storm,High,High,12
Route_85,7251,Clear,High,Low,2
Route_34,8969,Storm,Low,High,11
Route_69,9787,Cyclone,Low,Medium,11
Route_84,3199,Storm,Medium,Medium,2
Route_88,16789,Cyclone,Medium,High,15
Route_29,3038,Storm,Medium,High,7
Route_51,7876,Storm,Low,High,9
Route_89,15387,Clear,Low,Low,0
Route_43,11684,Clear,High,High,6
Route_56,2287,Storm,Medium,Low,2
Route_31,12667,Clear,Medium,High,4
Route_100,15869,Clear,High,Medium,2
Route_8,2592,Cyclone,Medium,High,8
Route_57,3295,Storm,High,High,9
Route_8,3210,Storm,Medium,Medium,3
Route_97,14971,Rain,High,High,9
Route_60,15528,Clear,Medium,High,8
Route_59,12254,Rain,Low,Low,0
Route_77,3713,Rain,High,Low,5
Route_54,17274,Cyclone,Low,Low,5
Route_8,5683,Storm,High,Medium,8
Route_75,6271,Rain,Medium,Medium,2
Route_44,11037,Storm,Low,High,13
Route_19,3378,Rain,High,High,9
Route_26,8065,Rain,Low,Medium,0
Route_86,17088,Cyclone,High,High,18
Route_54,12268,Rain,Low,Medium,0
Route_64,8689,Clear,High,Low,4
Route_80,8484,Rain,Medium,High,7
Route_49,8227,Cyclone,Low,Low,6
Route_10,13227,Clear,High,Low,4
Route_57,7870,Storm,Low,Low,1
Route_37,7206,Rain,Medium,High,5
Route_71,9559,Rain,Low,Low,0
Route_34,4815,Clear,High,Low,7
Route_15,12588,Rain,Medium,Medium,0
Route_48,13701,Rain,High,High,13
Route_16,6232,Rain,Low,Low,2
Route_49,13763,Storm,High,Medium,6
Route_98,7696,Storm,Low,Medium,1
Route_81,10677,Rain,High,High,11
Route_11,16922,Clear,Low,High,8
Route_97,13763,Cyclone,High,Medium,11
Route_48,17336,Cyclone,Medium,Medium,9
Route_82,2699,Rain,Low,Low,1
Route_31,14472,Rain,Medium,Medium,1
Route_74,6651,Storm,Medium,High,5
Route_38,16065,Storm,Low,High,9
Route_80,12522,Cyclone,Medium,Medium,8
Route_48,17803,Storm,Medium,Medium,1
Route_57,9160,Storm,High,Low,5
Route_65,4061,Storm,Low,Low,1
Route_47,2754,Rain,Medium,Low,2
Route_43,9692,Storm,High,High,15
Route_18,10056,Clear,Medium,Medium,1
Route_52,14795,Clear,Medium,High,7
Route_51,8957,Rain,High,High,9
Route_67,16859,Cyclone,Medium,Low,6
Route_55,15186,Rain,Medium,Medium,2
Route_4,13778,Rain,High,Low,6
Route_2,17877,Storm,Medium,Low,3
Route_88,14717,Storm,Medium,High,8
Route_18,6536,Storm,High,High,14
Route_51,3587,Cyclone,Low,Medium,5
Route_73,16295,Storm,Low,Low,3
Route_71,7320,Clear,High,High,8
Route_26,3777,Cyclone,Medium,Low,6
Route_85,3793,Cyclone,Low,Medium,8
Route_22,12207,Cyclone,Medium,Low,4
Route_69,15210,Cyclone,High,Low,10
Route_27,11650,Cyclone,High,High,19
Route_40,8151,Cyclone,Medium,Low,4
Route_58,3596,Cyclone,High,Low,14
Route_63,16579,Cyclone,High,Low,12
Route_83,16452,Storm,High,High,14
Route_54,9663,Rain,High,High,12
Route_85,7511,Clear,Medium,High,3
Route_21,10471,Storm,High,Low,7
Route_53,5472,Storm,Low,Low,4
Route_53,16276,Rain,Medium,Low,2
Route_6,16644,Clear,Low,High,10
Route_96,16635,Cyclone,Medium,High,12
Route_5,1851,Storm,Low,High,8
Route_96,16712,Cyclone,Medium,Low,6
Route_85,9439,Cyclone,Low,Medium,11
Route_21,7089,Clear,High,Low,4
Route_16,14307,Rain,Low,High,5
Route_35,6529,Cyclone,Medium,Low,7
Route_5,8583,Cyclone,High,Low,13
Route_89,11603,Cyclone,Low,High,8
Route_99,8110,Rain,Medium,Low,0
Route_12,2025,Cyclone,Low,Low,6
Route_88,3570,Rain,Low,High,6
Route_22,2942,Cyclone,High,Low,15
Route_72,7711,Rain,High,Medium,5
Route_30,8505,Clear,Medium,Medium,0
Route_2,14677,Storm,Low,Medium,2
Route_29,3663,Storm,High,High,7
Route_53,11380,Cyclone,Low,High,15
Route_33,4604,Storm,High,High,10
Route_82,11919,Cyclone,Low,Medium,6
Route_75,16209,Cyclone,High,High,21
Route_91,1935,Rain,Low,High,4
Route_31,15541,Rain,High,Low,2
Route_48,17842,Storm,Low,Low,2
Route_83,2742,Rain,High,High,14
Route_18,10613,Storm,High,Low,10
Route_37,2276,Rain,High,Medium,4
Route_27,3271,Rain,High,High,11
Route_67,12039,Rain,Medium,High,3
Route_63,3793,Rain,Low,High,4
Route_17,4506,Rain,High,High,9
Route_11,15467,Cyclone,Medium,Low,9
Route_32,15394,Rain,High,Low,5
Route_74,16188,Rain,Medium,Medium,0
Route_47,14549,Cyclone,Low,Medium,8
Route_65,15702,Rain,Medium,Low,1
Route_55,4227,Storm,High,High,10
Route_60,11522,Cyclone,Medium,Medium,10
Route_62,3857,Storm,Low,High,6
Route_25,1636,Clear,High,High,11
Route_54,14431,Storm,Medium,Medium,4
Route_76,3834,Cyclone,Low,Low,9
Route_21,7864,Cyclone,Medium,High,15
Route_63,13564,Clear,High,Medium,7
Route_32,9441,Cyclone,Low,Medium,11
Route_87,2425,Rain,Medium,High,8
Route_19,9832,Rain,High,High,6
Route_99,4524,Cyclone,Medium,High,13
Route_25,15359,Rain,Medium,Medium,2
Route_39,17905,Cyclone,High,Medium,16
Route_12,5080,Storm,Low,Medium,3
Route_96,14540,Storm,Low,Low,2
Route_13,3788,Cyclone,High,Medium,15
Route_56,7091,Rain,Medium,Low,2
Route_18,7988,Cyclone,Low,High,12
Route_28,7582,Rain,Low,High,4
Route_34,14895,Cyclone,High,High,11
Route_11,13877,Clear,Medium,Low,1
Route_4,9193,Cyclone,Medium,High,13
Route_8,10218,Clear,High,High,5
Route_67,1737,Cyclone,High,High,21
Route_97,12543,Cyclone,Medium,Medium,10
Route_41,9351,Storm,High,Medium,5
Route_43,4782,Clear,Medium,High,8
Route_18,2341,Clear,High,Medium,4
Route_58,17071,Cyclone,High,Low,8
Route_82,13303,Clear,High,Medium,5
Route_78,17377,Cyclone,High,High,18
Route_61,4791,Cyclone,Medium,High,13
Route_67,2540,Rain,Medium,Low,1
Route_87,16796,Rain,Medium,Low,1
Route_85,9393,Rain,Low,Low,2
Route_90,4430,Clear,Medium,High,3
Route_42,14066,Storm,Low,High,11
Route_86,5533,Rain,High,High,10
Route_43,8833,Clear,High,Medium,7
Route_96,14005,Cyclone,Low,Low,6
Route_38,4373,Clear,Low,Medium,2
Route_76,7665,Clear,High,Medium,4
Route_49,1555,Storm,Low,High,8
Route_55,11974,Storm,High,Low,6
Route_51,1801,Cyclone,Medium,Low,11
Route_29,17878,Cyclone,Low,High,12
Route_86,2625,Storm,Medium,High,7
Route_91,17172,Rain,Medium,Medium,2
Route_49,3427,Storm,Low,High,9
Route_90,3222,Rain,Medium,High,7
Route_85,6716,Clear,High,Medium,5
Route_87,17013,Storm,Medium,Medium,3
Route_94,10774,Storm,High,Low,8
Route_17,12097,Clear,High,Medium,7
Route_21,6007,Cyclone,High,Medium,9
Route_28,7911,Clear,Medium,High,7
Route_87,6336,Cyclone,Medium,High,14
Route_13,13151,Cyclone,Low,Low,6
Route_84,12591,Cyclone,Low,High,15
Route_5,5392,Rain,Medium,Medium,1
Route_89,7152,Cyclone,High,High,19
Route_49,10518,Cyclone,Medium,Low,4
Route_11,5499,Cyclone,High,High,16
Route_74,17212,Storm,High,High,11
Route_83,15710,Storm,High,Low,5
Route_92,7558,Cyclone,High,Low,12
Route_67,5566,Rain,High,Low,5
Route_89,7396,Clear,High,Medium,4
Route_6,5721,Rain,High,Low,4
Route_33,2647,Clear,Low,High,6
Route_70,7123,Cyclone,High,Low,9
Route_67,11114,Cyclone,Low,High,16
Route_67,13038,Rain,High,Low,2
Route_5,7662,Rain,Medium,Low,0
Route_78,8579,Storm,Medium,Low,5
Route_55,3936,Storm,Medium,Medium,3
Route_52,16444,Clear,Medium,High,8
Route_19,8176,Clear,High,High,14
Route_83,7812,Storm,High,High,12
Route_41,15709,Cyclone,Low,High,9
Route_16,5104,Cyclone,Low,Medium,9
Route_47,12428,Storm,Low,Low,2
Route_13,13858,Rain,Medium,Low,0
Route_23,11545,Cyclone,Low,High,16
Route_37,10381,Clear,Low,Low,1
Route_97,14265,Rain,Medium,High,10
Route_71,14694,Cyclone,High,Low,10
Route_66,6595,Rain,Low,Medium,2
Route_95,10261,Clear,High,High,12
