date,iraq_mmt,saudi_arabia_mmt,russia_mmt,uae_mmt,kuwait_mmt,nigeria_mmt,usa_mmt,iran_mmt,other_mmt,total_imports_mmt,hhi_concentration
2018-07-01,4.851,4.122,0.073,2.329,1.693,1.347,2.035,2.413,1.952,20.815,0.1487
2018-08-01,4.264,4.023,0.468,2.136,2.056,1.409,1.727,2.456,1.93,20.466,0.1387
2018-09-01,4.938,3.265,0.093,2.198,1.777,1.403,1.806,2.363,1.845,19.689,0.1477
2018-10-01,4.944,4.34,0.365,2.366,1.861,1.337,1.626,2.457,1.824,21.121,0.1486
2018-11-01,4.786,3.432,0.041,2.404,1.791,1.416,1.8,2.443,1.938,20.051,0.1459
2018-12-01,4.403,4.128,0.135,2.186,1.755,1.373,1.753,2.511,1.667,19.912,0.1472
2019-01-01,4.579,3.87,0.422,2.849,2.41,1.543,2.282,0.249,2.268,20.473,0.1499
2019-02-01,5.217,3.841,0.416,3.171,2.207,1.651,2.406,0.284,2.183,21.377,0.1541
2019-03-01,4.486,3.969,0.004,2.696,2.116,1.623,2.263,0.217,2.499,19.873,0.1561
2019-04-01,4.208,4.612,0.174,2.833,2.373,1.592,2.31,0.214,2.346,20.663,0.1548
2019-05-01,4.863,5.358,0.111,2.767,2.184,1.653,2.214,0.266,2.491,21.907,0.164
2019-06-01,4.445,3.724,0.278,2.771,2.378,1.733,2.132,0.284,2.553,20.297,0.1485
2019-07-01,4.435,3.956,0.25,2.911,2.388,1.918,2.271,0.168,2.082,20.378,0.1511
2019-08-01,4.387,4.143,0.477,2.79,2.328,1.719,2.413,0.334,2.215,20.807,0.147
2019-09-01,4.52,4.692,0.311,3.152,2.387,1.689,2.359,0.264,2.423,21.796,0.1527
2019-10-01,5.029,4.713,0.384,3.089,2.403,1.712,2.32,0.269,2.183,22.103,0.1558
2019-11-01,4.971,3.993,0.214,3.08,2.339,1.738,2.175,0.247,2.408,21.165,0.1546
2019-12-01,5.88,4.046,0.243,2.933,2.553,1.728,2.344,0.24,2.344,22.311,0.161
2020-01-01,4.587,3.886,0.372,2.854,2.426,1.734,2.526,0.134,2.322,20.84,0.1499
2020-02-01,5.01,4.581,0.201,2.931,2.694,1.664,2.192,0.233,2.336,21.842,0.1573
2020-03-01,4.322,4.161,0.248,2.937,2.225,1.9,2.482,0.207,2.694,21.178,0.1487
2020-04-01,3.098,2.099,0.055,2.265,1.854,1.339,1.853,0.096,2.034,14.693,0.148
2020-05-01,3.601,3.427,0.211,2.346,1.907,1.411,1.886,0.226,1.851,16.865,0.1509
2020-06-01,4.005,2.831,0.376,2.181,2.096,1.365,1.683,0.166,1.724,16.426,0.1521
2020-07-01,5.299,3.517,0.147,2.767,2.372,1.588,2.282,0.252,2.558,20.781,0.1577
2020-08-01,5.103,3.369,0.207,3.057,2.272,1.985,2.534,0.203,2.45,21.179,0.1524
2020-09-01,5.006,2.84,0.177,2.962,2.301,1.811,2.632,0.247,2.366,20.342,0.1525
2020-10-01,5.199,4.57,0.354,3.081,2.36,1.913,2.497,0.26,2.553,22.786,0.1533
2020-11-01,5.449,3.611,0.413,3.109,2.774,1.778,2.637,0.225,2.365,22.363,0.152
2020-12-01,4.694,3.728,0.28,3.165,2.383,1.849,2.683,0.302,2.534,21.617,0.1473
2021-01-01,4.966,3.957,0.309,2.94,2.436,1.689,2.515,0.249,2.402,21.462,0.152
2021-02-01,5.745,3.293,0.0,3.134,2.637,2.029,2.434,0.271,2.475,22.019,0.1586
2021-03-01,4.884,4.357,0.315,2.871,2.708,2.003,2.423,0.237,2.56,22.358,0.15
2021-04-01,5.112,3.649,0.117,3.111,2.668,1.923,2.455,0.257,2.064,21.355,0.1542
2021-05-01,5.567,3.063,0.164,2.954,2.303,1.989,2.451,0.236,2.49,21.218,0.1569
2021-06-01,5.243,3.98,0.027,3.278,2.429,1.722,2.46,0.294,2.631,22.064,0.1561
2021-07-01,4.841,3.776,0.171,3.448,2.566,1.925,2.612,0.231,2.47,22.041,0.15
2021-08-01,4.929,3.924,0.214,3.252,2.522,1.959,2.507,0.224,2.215,21.747,0.1517
2021-09-01,5.497,4.142,0.37,2.716,2.834,1.876,2.631,0.169,2.612,22.847,0.1537
2021-10-01,4.523,3.666,0.508,3.129,2.559,1.982,2.576,0.229,2.581,21.751,0.1432
2021-11-01,6.263,3.958,0.252,3.322,2.698,2.018,2.596,0.164,2.777,24.047,0.1588
2021-12-01,4.5,4.147,0.109,3.162,2.587,1.935,2.58,0.303,2.605,21.928,0.1486
2022-01-01,4.955,4.487,0.447,2.985,2.625,1.972,2.506,0.291,2.513,22.78,0.1489
2022-02-01,5.151,3.927,0.272,3.012,2.325,2.065,2.456,0.173,2.218,21.6,0.1538
2022-03-01,4.754,3.361,0.693,3.297,2.413,2.113,2.615,0.207,2.142,21.596,0.1437
2022-04-01,6.219,3.337,0.276,3.29,2.876,2.021,2.566,0.254,2.638,23.476,0.1573
2022-05-01,5.453,4.182,0.614,3.119,2.389,1.849,2.333,0.22,2.354,22.513,0.1529
2022-06-01,4.522,4.14,0.884,3.257,2.26,1.772,2.589,0.176,2.462,22.061,0.1439
2022-07-01,5.349,3.575,0.767,2.91,2.398,1.898,2.329,0.248,2.485,21.958,0.1482
2022-08-01,5.35,4.18,1.033,3.12,2.416,1.873,2.535,0.228,2.487,23.222,0.1463
2022-09-01,4.723,3.746,0.696,3.354,2.287,1.786,2.402,0.271,2.429,21.692,0.145
2022-10-01,5.697,3.749,1.026,2.957,2.788,1.731,2.497,0.259,2.528,23.231,0.1478
2022-11-01,4.981,4.03,1.068,3.051,2.603,2.065,2.403,0.159,2.445,22.805,0.1429
2022-12-01,6.363,3.702,1.386,3.315,2.368,1.895,2.614,0.209,2.42,24.273,0.1511
2023-01-01,4.752,3.606,1.321,2.828,2.415,1.73,2.433,0.151,2.459,21.694,0.1405
2023-02-01,5.471,3.125,1.478,3.203,2.233,1.978,2.457,0.194,2.406,22.544,0.1434
2023-03-01,5.344,4.169,1.506,2.887,2.445,1.674,2.409,0.184,2.31,22.927,0.1455
2023-04-01,5.694,4.686,1.519,2.868,2.378,1.94,2.439,0.346,2.484,24.354,0.146
2023-05-01,5.183,3.994,1.451,3.015,2.537,1.919,2.352,0.164,2.155,22.77,0.1434
2023-06-01,5.352,3.606,1.111,3.103,2.81,1.826,2.52,0.235,2.421,22.984,0.1439
2023-07-01,5.568,4.022,1.477,3.1,2.341,1.93,2.424,0.194,2.522,23.577,0.1447
2023-08-01,4.671,4.19,1.439,3.221,2.518,1.832,2.528,0.302,2.53,23.23,0.1379
2023-09-01,5.136,3.529,1.284,3.019,2.36,1.82,2.457,0.259,2.441,22.305,0.1418
2023-10-01,5.385,4.226,1.15,2.93,2.435,1.722,2.517,0.31,2.64,23.315,0.1454
2023-11-01,5.046,4.948,1.472,3.027,2.37,1.816,2.423,0.242,2.486,23.832,0.1449
2023-12-01,5.166,4.43,1.631,3.227,2.245,1.595,2.561,0.166,2.434,23.454,0.1445
2024-01-01,4.59,3.32,1.537,3.205,2.386,1.595,2.418,0.254,2.251,21.557,0.1376
2024-02-01,5.278,4.222,1.546,3.115,2.332,1.978,2.462,0.234,2.338,23.505,0.1425
2024-03-01,4.976,3.797,1.436,3.361,2.277,1.701,2.63,0.225,2.383,22.786,0.1411
2024-04-01,5.728,3.945,1.739,3.212,2.415,2.082,2.428,0.273,2.533,24.357,0.1421
2024-05-01,5.87,5.038,1.473,3.004,2.563,1.803,2.695,0.243,2.439,25.128,0.1491
2024-06-01,5.323,3.592,1.326,3.304,2.401,1.77,2.553,0.296,2.607,23.171,0.1419
2024-07-01,5.739,3.897,1.261,3.356,2.456,1.853,2.637,0.265,2.573,24.037,0.1455
2024-08-01,6.335,3.962,1.617,3.146,2.55,2.035,2.56,0.265,2.67,25.14,0.1467
2024-09-01,5.081,3.873,1.324,2.849,2.823,1.776,2.493,0.225,2.561,23.004,0.141
2024-10-01,5.682,4.732,1.396,3.125,2.563,1.865,2.681,0.264,2.63,24.939,0.1457
2024-11-01,5.617,4.898,1.514,2.962,2.585,1.829,2.473,0.269,2.711,24.858,0.1459
2024-12-01,5.307,4.474,1.745,3.199,2.921,1.955,2.355,0.278,2.588,24.822,0.1398
2025-01-01,5.952,4.666,1.472,2.986,2.505,1.817,2.478,0.27,2.786,24.933,0.1477
2025-02-01,5.516,3.74,1.563,3.356,2.45,1.893,2.543,0.202,2.638,23.9,0.1421
2025-03-01,5.269,4.557,1.366,3.118,2.655,1.873,2.719,0.222,2.58,24.358,0.1429
2025-04-01,5.807,3.647,1.238,2.961,2.741,1.859,2.808,0.214,2.579,23.854,0.1456
2025-05-01,6.123,5.368,1.815,3.378,2.711,1.977,2.635,0.215,2.434,26.655,0.148
2025-06-01,5.361,4.289,1.441,3.307,2.706,1.931,2.71,0.186,2.533,24.463,0.142
