date,IOCL_Panipat_demand_kmt,IOCL_Koyali_demand_kmt,RIL_Jamnagar_demand_kmt,Nayara_Vadinar_demand_kmt,BPCL_Kochi_demand_kmt,MRPL_Mangaluru_demand_kmt,CPCL_Chennai_demand_kmt,total_demand_kmt
2023-09-12,22.1,38.4,173.0,59.0,42.8,43.2,29.0,407.5
2023-09-13,43.1,37.3,168.0,57.3,42.1,42.9,28.0,418.7
2023-09-14,42.8,38.3,173.5,57.9,43.0,42.4,28.1,426.0
2023-09-15,43.4,38.4,167.5,58.0,43.3,42.6,29.7,422.90000000000003
2023-09-16,43.2,38.2,171.6,57.6,41.4,43.7,28.9,424.59999999999997
2023-09-17,42.9,38.0,170.5,56.2,42.5,41.8,27.6,419.50000000000006
2023-09-18,41.2,38.9,173.5,58.4,44.7,42.4,28.3,427.4
2023-09-19,42.7,38.9,172.0,56.8,44.3,42.5,28.2,425.4
2023-09-20,42.9,39.0,167.2,56.1,43.3,41.6,29.2,419.3
2023-09-21,42.2,38.2,174.3,55.9,43.2,42.7,28.4,424.9
2023-09-22,42.5,38.4,169.2,56.7,43.0,42.4,29.2,421.4
2023-09-23,41.7,36.4,168.1,56.3,42.5,43.7,28.6,417.3
2023-09-24,42.5,39.1,166.5,53.8,42.7,43.4,29.4,417.3999999999999
2023-09-25,43.2,37.3,170.1,58.2,42.5,43.3,28.1,422.70000000000005
2023-09-26,44.5,37.7,169.1,58.5,43.1,43.7,28.3,424.90000000000003
2023-09-27,41.9,37.1,170.0,56.1,42.5,43.0,29.0,419.6
2023-09-28,42.7,38.2,167.3,58.6,43.0,42.1,27.9,419.8
2023-09-29,41.9,38.0,173.7,56.6,42.7,43.1,28.4,424.4
2023-09-30,42.7,38.2,169.0,56.8,43.4,43.8,28.8,422.7
2023-10-01,42.6,37.5,166.9,56.8,40.9,43.7,28.3,416.7
2023-10-02,43.5,37.7,172.6,56.1,43.3,43.3,28.8,425.30000000000007
2023-10-03,43.6,38.8,168.9,56.3,42.6,42.2,28.4,420.8
2023-10-04,42.9,37.6,170.6,57.6,43.2,41.7,29.4,422.99999999999994
2023-10-05,42.7,37.9,172.9,57.9,43.6,43.3,27.9,426.2
2023-10-06,43.8,37.8,173.4,55.0,43.0,42.3,28.4,423.7
2023-10-07,42.9,37.7,171.8,56.3,43.7,42.0,28.3,422.7
2023-10-08,44.1,38.3,167.3,57.9,42.5,43.8,28.5,422.40000000000003
2023-10-09,41.4,38.7,176.6,56.6,42.7,42.8,29.3,428.1
2023-10-10,44.3,39.5,169.8,58.1,42.5,43.2,29.4,426.8
2023-10-11,42.3,37.5,175.2,54.3,41.2,43.2,28.8,422.5
2023-10-12,41.9,39.6,173.6,57.3,42.0,42.8,28.9,426.09999999999997
2023-10-13,42.8,37.7,174.0,57.1,43.9,42.3,28.8,426.6
2023-10-14,41.8,38.7,167.3,57.0,42.9,43.0,28.8,419.5
2023-10-15,43.3,17.6,168.0,57.8,44.0,42.9,28.8,402.4
2023-10-16,42.4,17.7,170.1,56.8,44.1,42.6,28.8,402.50000000000006
2023-10-17,43.1,17.8,170.3,58.2,43.4,43.6,28.6,405.00000000000006
2023-10-18,42.0,17.0,165.6,55.3,40.6,43.0,28.7,392.2
2023-10-19,42.7,17.8,171.8,57.7,43.6,42.9,26.9,403.4
2023-10-20,43.0,17.0,172.3,56.4,41.2,43.8,28.7,402.4
2023-10-21,42.7,17.2,164.3,58.2,43.0,39.9,28.1,393.40000000000003
2023-10-22,44.3,17.7,171.5,56.6,42.0,43.0,27.9,403.0
2023-10-23,43.4,17.4,171.0,56.6,44.1,43.2,28.8,404.50000000000006
2023-10-24,43.1,17.2,176.4,58.6,42.2,43.2,28.7,409.4
2023-10-25,41.3,17.5,171.5,56.5,42.8,43.2,28.6,401.40000000000003
2023-10-26,43.3,18.0,171.8,57.9,45.1,42.2,28.6,406.90000000000003
2023-10-27,44.0,17.9,166.4,58.3,43.2,44.2,27.8,401.8
2023-10-28,42.4,17.5,169.6,58.6,43.9,42.1,29.2,403.3
2023-10-29,42.8,18.0,178.3,57.2,42.2,43.4,28.0,409.9
2023-10-30,40.4,17.8,171.8,57.7,45.1,43.0,27.8,403.6
2023-10-31,42.0,17.4,174.3,58.4,43.6,44.2,28.5,408.40000000000003
2023-11-01,41.3,17.6,164.2,59.1,44.2,42.0,28.5,396.9
2023-11-02,43.2,17.2,170.2,57.1,41.2,43.2,28.4,400.49999999999994
2023-11-03,43.0,17.5,173.2,56.6,43.4,43.6,29.2,406.5
2023-11-04,43.0,17.7,176.7,56.4,43.2,43.1,29.4,409.49999999999994
2023-11-05,42.8,17.9,173.8,58.7,44.7,42.9,30.1,410.9
2023-11-06,44.1,17.5,180.7,56.7,41.8,43.1,28.4,412.3
2023-11-07,42.1,39.0,172.4,57.3,42.5,43.1,27.9,424.3
2023-11-08,43.2,36.5,172.9,59.1,44.4,44.0,28.6,428.70000000000005
2023-11-09,43.8,39.5,171.3,55.5,43.4,42.7,27.9,424.09999999999997
2023-11-10,43.1,39.0,170.4,58.3,43.1,46.1,28.9,428.90000000000003
2023-11-11,43.2,38.6,173.3,57.8,43.0,43.0,29.0,427.90000000000003
2023-11-12,42.6,38.1,171.7,55.3,43.8,43.6,29.0,424.1
2023-11-13,43.1,38.7,177.6,58.1,43.7,45.2,28.8,435.2
2023-11-14,44.0,37.8,175.0,58.5,43.0,42.8,29.5,430.6
2023-11-15,41.6,38.1,176.6,58.6,43.2,44.1,29.4,431.6
2023-11-16,43.3,38.6,181.8,56.0,42.6,43.1,29.2,434.6000000000001
2023-11-17,42.9,38.5,171.5,57.6,44.5,43.2,28.5,426.7
2023-11-18,43.4,39.3,172.1,58.2,42.5,43.6,28.7,427.8
2023-11-19,45.1,38.4,174.2,57.6,43.5,44.3,28.3,431.40000000000003
2023-11-20,43.2,38.7,173.3,59.3,44.2,43.3,28.8,430.8
2023-11-21,44.9,39.3,177.6,57.6,44.5,43.8,27.8,435.5
2023-11-22,44.6,38.5,175.9,58.1,42.5,43.8,29.1,432.50000000000006
2023-11-23,43.7,39.3,175.1,59.3,43.8,43.6,29.4,434.20000000000005
2023-11-24,43.7,39.1,177.3,58.4,43.9,43.3,29.8,435.5
2023-11-25,43.9,38.2,170.7,58.9,44.3,42.9,29.0,427.9
2023-11-26,43.0,38.5,174.1,59.0,43.0,44.6,27.9,430.1
2023-11-27,44.3,38.8,175.5,58.8,43.8,43.7,28.8,433.70000000000005
2023-11-28,43.3,37.7,172.0,57.9,43.7,44.2,28.4,427.19999999999993
2023-11-29,43.9,39.6,177.9,59.7,43.2,44.2,28.7,437.19999999999993
2023-11-30,41.9,39.3,177.6,58.3,42.8,42.8,29.3,432.0
2023-12-01,43.1,38.0,172.9,59.3,42.7,44.7,29.8,430.5
2023-12-02,44.4,39.0,172.8,59.1,43.1,44.4,28.9,431.70000000000005
2023-12-03,43.0,40.8,180.7,58.8,43.9,45.2,29.2,441.59999999999997
2023-12-04,44.3,39.7,170.3,56.5,44.2,43.4,28.7,427.09999999999997
2023-12-05,43.6,38.0,178.0,59.1,43.9,43.9,28.8,435.3
2023-12-06,44.9,38.4,172.0,57.5,44.6,44.4,29.3,431.1
2023-12-07,45.2,39.5,175.7,60.6,43.3,44.5,30.2,439.0
2023-12-08,44.3,40.0,178.6,62.2,44.3,46.3,29.5,445.2
2023-12-09,44.2,40.1,181.4,57.8,44.5,43.9,30.2,442.1
2023-12-10,44.2,39.4,176.5,59.7,43.9,42.7,29.7,436.09999999999997
2023-12-11,44.2,38.1,185.5,57.9,44.2,44.3,28.8,443.0
2023-12-12,45.3,40.1,176.1,57.0,45.0,42.5,30.4,436.4
2023-12-13,46.5,38.7,177.9,58.6,43.9,43.1,29.0,437.70000000000005
2023-12-14,43.2,38.6,183.3,60.0,43.2,44.9,29.1,442.3
2023-12-15,43.5,39.8,180.8,58.3,42.8,45.0,30.2,440.40000000000003
2023-12-16,45.6,39.2,174.3,58.9,43.8,43.2,29.7,434.7
2023-12-17,43.4,38.7,185.3,60.0,46.0,45.1,29.4,447.9
2023-12-18,43.3,39.3,179.6,58.6,44.6,45.3,30.1,440.80000000000007
2023-12-19,46.4,39.0,177.3,58.2,45.4,44.7,30.4,441.4
2023-12-20,44.3,39.6,175.1,59.8,43.1,44.3,29.5,435.70000000000005
2023-12-21,44.4,39.3,185.2,59.4,45.8,45.1,29.8,449.0
2023-12-22,44.2,41.1,181.7,61.3,45.5,44.8,29.5,448.1
2023-12-23,45.2,39.1,181.4,59.5,45.8,43.7,29.8,444.50000000000006
2023-12-24,43.7,39.3,174.3,60.3,44.9,44.0,29.9,436.4
2023-12-25,46.4,23.6,170.7,59.6,44.6,45.6,29.3,419.80000000000007
2023-12-26,45.5,23.3,186.8,60.7,44.2,45.4,29.8,435.7
2023-12-27,44.8,22.7,176.5,60.9,43.7,43.8,31.1,423.5
2023-12-28,44.4,23.2,180.8,59.7,44.3,44.7,30.5,427.6
2023-12-29,45.0,23.5,186.9,59.3,45.4,45.3,30.1,435.5
2023-12-30,45.9,23.0,179.1,59.1,45.6,44.1,29.7,426.50000000000006
2023-12-31,47.4,23.2,178.5,60.2,45.8,45.8,29.0,429.90000000000003
2024-01-01,46.4,22.4,182.9,59.7,45.9,44.0,30.0,431.29999999999995
2024-01-02,46.0,22.3,177.6,59.8,46.2,45.4,31.0,428.29999999999995
2024-01-03,45.2,23.2,182.6,59.2,45.8,46.1,29.6,431.70000000000005
2024-01-04,46.3,22.9,174.5,60.7,45.7,43.8,30.4,424.29999999999995
2024-01-05,44.9,23.6,183.0,60.2,45.4,45.2,31.2,433.49999999999994
2024-01-06,45.5,22.4,180.7,61.2,45.5,44.0,30.4,429.7
2024-01-07,46.3,23.3,173.5,59.8,46.2,45.6,30.9,425.59999999999997
2024-01-08,45.9,23.4,180.3,60.9,46.3,45.3,30.2,432.3
2024-01-09,44.7,23.3,179.6,62.6,46.5,44.6,30.0,431.3
2024-01-10,44.0,23.4,182.9,58.4,45.5,44.6,31.6,430.40000000000003
2024-01-11,45.9,23.4,179.6,60.2,43.5,45.8,29.2,427.59999999999997
2024-01-12,45.6,24.3,181.5,61.0,45.5,46.1,30.4,434.4
2024-01-13,46.3,22.7,177.5,64.1,44.7,47.6,30.4,433.3
2024-01-14,45.6,23.9,179.2,62.3,44.3,45.8,30.0,431.1
2024-01-15,45.2,23.9,183.1,58.8,45.5,45.0,31.2,432.7
2024-01-16,46.6,23.6,170.0,60.2,45.8,45.4,29.5,421.09999999999997
2024-01-17,46.6,24.4,184.0,59.9,45.3,45.8,30.7,436.7
2024-01-18,43.8,23.8,185.7,62.3,44.9,45.3,29.3,435.09999999999997
2024-01-19,44.3,23.9,182.3,59.5,47.4,43.6,30.2,431.2
2024-01-20,45.9,23.6,183.2,61.4,45.9,45.6,29.9,435.49999999999994
2024-01-21,45.7,23.4,182.1,60.7,45.6,44.8,31.0,433.3
2024-01-22,45.7,41.9,184.4,59.4,44.6,44.0,29.5,449.5
2024-01-23,46.6,40.4,177.2,62.5,46.5,47.0,30.2,450.4
2024-01-24,47.8,41.7,184.8,63.7,45.7,45.0,30.1,458.8
2024-01-25,45.0,39.2,182.2,61.7,45.7,45.9,30.4,450.0999999999999
2024-01-26,45.9,40.4,181.4,62.6,46.6,44.9,30.9,452.7
2024-01-27,46.0,41.7,182.0,62.4,43.2,45.1,30.8,451.2
2024-01-28,46.2,41.5,182.0,63.1,46.3,46.3,30.5,455.90000000000003
2024-01-29,44.9,41.5,181.4,63.8,44.6,45.0,31.0,452.20000000000005
2024-01-30,46.5,41.4,189.9,61.0,46.3,46.2,30.8,462.1
2024-01-31,46.2,42.0,182.2,62.2,46.4,47.9,30.2,457.0999999999999
2024-02-01,48.1,42.2,183.2,61.4,44.6,46.2,30.4,456.09999999999997
2024-02-02,46.6,39.9,184.5,62.0,46.7,44.9,30.8,455.4
2024-02-03,45.6,40.8,186.9,59.0,46.5,46.8,31.6,457.20000000000005
2024-02-04,44.9,40.6,178.5,59.8,45.7,47.7,30.6,447.8
2024-02-05,46.2,40.9,185.7,63.5,47.1,48.1,31.0,462.5
2024-02-06,45.6,41.5,190.9,61.0,45.8,46.7,30.8,462.3
2024-02-07,46.0,40.6,180.2,62.6,45.9,47.1,32.4,454.79999999999995
2024-02-08,46.7,40.8,190.2,62.1,45.3,46.3,30.2,461.6
2024-02-09,46.6,41.3,184.1,62.4,46.1,46.2,29.6,456.3
2024-02-10,46.6,39.7,190.6,62.8,47.4,47.5,31.1,465.7
2024-02-11,47.8,39.5,181.2,63.4,44.6,48.0,31.7,456.2
2024-02-12,46.9,40.9,190.8,64.0,46.4,45.7,30.5,465.2
2024-02-13,49.1,39.8,191.6,62.7,46.2,47.1,31.8,468.3
2024-02-14,46.7,40.4,182.8,60.4,46.2,46.0,30.2,452.69999999999993
2024-02-15,46.2,42.1,187.4,62.4,46.5,46.4,31.3,462.3
2024-02-16,45.2,42.2,184.8,62.0,46.3,47.3,30.8,458.6000000000001
2024-02-17,45.4,41.0,181.3,61.6,45.6,47.1,30.9,452.9000000000001
2024-02-18,47.5,42.2,184.8,61.8,46.9,46.6,31.5,461.3
2024-02-19,47.3,40.0,181.0,63.9,45.6,46.9,31.2,455.9
2024-02-20,46.6,39.5,187.4,61.6,45.7,45.8,31.3,457.90000000000003
2024-02-21,46.5,40.6,192.9,62.6,46.1,47.1,31.3,467.1000000000001
2024-02-22,45.9,41.0,184.9,62.3,46.1,48.7,32.3,461.20000000000005
2024-02-23,46.6,41.7,180.6,61.2,45.9,45.2,31.0,452.19999999999993
2024-02-24,46.9,42.1,189.3,61.8,47.9,46.4,30.9,465.29999999999995
2024-02-25,45.0,42.1,186.7,65.6,47.5,47.8,31.4,466.09999999999997
2024-02-26,47.5,40.5,190.7,60.6,46.9,46.2,30.9,463.29999999999995
2024-02-27,45.0,40.9,185.6,61.2,47.8,45.6,31.9,458.0
2024-02-28,47.2,41.0,191.1,63.2,46.5,47.2,30.4,466.59999999999997
2024-02-29,46.9,40.9,180.0,63.2,47.9,46.1,31.3,456.3
2024-03-01,47.2,43.5,187.2,62.7,48.1,46.8,30.7,466.2
2024-03-02,46.4,42.6,191.7,63.0,46.7,47.7,31.3,469.4
2024-03-03,48.6,42.6,188.5,62.8,46.8,46.9,31.9,468.09999999999997
2024-03-04,47.7,43.1,191.6,61.7,45.9,45.7,31.5,467.19999999999993
2024-03-05,47.6,42.6,183.8,61.9,46.1,46.1,31.6,459.70000000000005
2024-03-06,46.9,41.4,190.8,62.3,48.3,46.7,30.0,466.40000000000003
2024-03-07,47.0,41.7,188.1,63.6,47.1,46.4,32.2,466.1
2024-03-08,47.9,43.1,184.8,62.7,48.3,45.6,30.8,463.20000000000005
2024-03-09,48.3,40.8,183.8,62.2,46.9,48.5,32.1,462.59999999999997
2024-03-10,48.4,43.0,190.6,59.6,45.9,46.6,31.7,465.8
2024-03-11,47.1,42.2,187.6,64.4,47.4,45.5,31.0,465.19999999999993
2024-03-12,47.2,43.1,193.8,62.3,47.1,46.2,31.3,471.00000000000006
2024-03-13,47.5,41.2,185.0,63.4,47.7,47.8,31.3,463.9
2024-03-14,46.9,41.5,188.5,64.2,47.7,43.7,31.5,463.99999999999994
2024-03-15,46.5,41.8,189.2,62.5,45.6,47.9,31.2,464.7
2024-03-16,47.3,41.5,188.5,63.8,47.3,47.1,32.5,468.00000000000006
2024-03-17,47.6,43.2,182.7,63.0,48.3,47.7,31.5,464.0
2024-03-18,47.7,42.5,187.5,61.5,46.1,46.7,31.9,463.9
2024-03-19,47.1,42.7,192.3,61.8,46.0,45.8,31.1,466.80000000000007
2024-03-20,46.6,41.7,187.6,65.2,46.6,48.6,30.8,467.1
2024-03-21,47.7,42.3,186.3,62.3,47.7,46.9,30.0,463.2
2024-03-22,47.6,40.6,188.8,59.4,47.1,46.1,31.5,461.1
2024-03-23,46.4,42.2,184.4,63.2,48.0,47.5,30.6,462.3
2024-03-24,48.1,41.5,186.9,62.4,47.3,47.8,31.6,465.6
2024-03-25,48.0,41.8,187.6,64.8,47.2,49.1,31.5,470.0
2024-03-26,47.2,40.8,186.8,64.0,47.8,48.8,32.2,467.6
2024-03-27,46.1,40.9,189.5,63.4,46.6,47.8,31.4,465.7
2024-03-28,46.1,40.8,183.2,63.3,47.6,47.8,31.4,460.20000000000005
2024-03-29,47.7,42.5,188.4,62.4,48.0,48.0,31.8,468.8
2024-03-30,31.1,40.8,192.0,64.5,49.0,47.3,31.5,456.2
2024-03-31,31.2,41.9,196.1,62.1,45.6,46.3,32.4,455.6
2024-04-01,30.7,41.5,192.7,65.1,47.7,48.8,30.3,456.8
2024-04-02,31.9,42.4,187.8,64.3,46.6,46.6,31.0,450.6000000000001
2024-04-03,30.2,43.2,185.5,63.4,48.1,46.8,31.1,448.3
2024-04-04,31.4,40.7,193.6,61.6,47.5,47.1,31.5,453.40000000000003
2024-04-05,31.6,42.4,190.1,62.7,46.6,47.6,31.7,452.70000000000005
2024-04-06,31.8,42.4,189.5,64.6,47.9,45.6,31.7,453.49999999999994
2024-04-07,31.7,41.8,185.4,65.6,47.7,48.2,32.7,453.09999999999997
2024-04-08,30.6,41.8,191.9,61.8,48.5,48.6,30.9,454.1
2024-04-09,31.1,41.3,183.3,62.6,47.4,48.2,31.5,445.4
2024-04-10,30.9,43.5,191.0,65.9,48.5,46.5,31.2,457.49999999999994
2024-04-11,30.6,41.8,190.7,65.2,46.8,47.2,32.2,454.5
2024-04-12,30.3,40.9,186.5,63.9,47.7,46.8,29.7,445.79999999999995
2024-04-13,31.7,41.8,188.4,61.7,46.8,48.2,31.0,449.59999999999997
2024-04-14,32.1,41.7,190.7,63.6,46.2,46.4,31.1,451.8
2024-04-15,31.0,44.0,193.1,64.5,47.3,48.0,31.6,459.50000000000006
2024-04-16,31.8,42.8,185.7,61.3,46.8,44.9,30.4,443.69999999999993
2024-04-17,31.7,41.8,182.7,61.5,47.7,46.9,31.9,444.19999999999993
2024-04-18,30.8,41.6,187.1,60.7,46.9,46.5,32.7,446.29999999999995
2024-04-19,47.0,42.3,190.3,62.6,44.9,47.4,30.2,464.7
2024-04-20,47.2,41.9,186.7,64.7,48.3,47.7,32.9,469.3999999999999
2024-04-21,47.8,43.0,188.7,65.4,48.6,47.0,30.6,471.1
2024-04-22,47.2,42.2,192.4,63.0,47.1,45.2,30.8,467.90000000000003
2024-04-23,45.4,42.0,187.1,63.2,46.7,46.1,31.3,461.8
2024-04-24,48.8,39.9,187.5,61.8,47.1,47.5,31.3,463.90000000000003
2024-04-25,47.4,42.3,189.7,64.0,46.3,46.7,31.3,467.7
2024-04-26,46.1,41.5,190.2,64.7,47.5,48.1,31.3,469.4
2024-04-27,45.6,42.2,192.0,62.8,47.1,46.6,31.8,468.1000000000001
2024-04-28,46.2,41.6,185.8,62.9,48.2,47.8,31.3,463.8
2024-04-29,46.7,43.6,185.9,61.2,46.5,45.9,32.1,461.90000000000003
2024-04-30,46.3,42.4,191.4,62.4,46.9,46.8,31.1,467.3
2024-05-01,46.5,41.8,185.8,61.7,45.8,47.1,31.7,460.40000000000003
2024-05-02,46.0,41.3,189.4,63.1,45.1,46.2,32.2,463.3
2024-05-03,47.4,41.8,186.8,61.4,46.8,46.5,32.0,462.7
2024-05-04,45.9,41.0,192.5,61.1,46.9,46.9,31.7,465.99999999999994
2024-05-05,47.4,42.6,189.3,62.6,47.0,46.5,31.2,466.6
2024-05-06,47.5,41.5,188.1,61.2,45.7,46.7,31.3,462.0
2024-05-07,45.4,40.8,184.3,62.1,46.2,46.6,31.3,456.70000000000005
2024-05-08,46.3,42.5,184.4,61.5,45.6,46.3,31.5,458.1
2024-05-09,47.6,42.1,185.9,62.8,47.5,46.6,31.9,464.40000000000003
2024-05-10,46.9,41.0,185.3,61.8,47.4,47.3,30.7,460.40000000000003
2024-05-11,47.5,42.2,190.1,61.1,46.3,47.7,30.6,465.50000000000006
2024-05-12,47.7,41.0,185.7,62.5,46.0,45.3,30.2,458.4
2024-05-13,45.6,40.3,195.9,61.5,45.4,45.0,29.8,463.5
2024-05-14,46.2,41.8,191.5,62.7,47.0,47.9,30.5,467.59999999999997
2024-05-15,46.9,40.3,185.6,62.4,46.7,45.5,30.5,457.8999999999999
2024-05-16,46.3,42.5,197.7,60.9,46.1,46.3,30.2,470.0
2024-05-17,46.9,41.6,184.1,61.3,47.1,46.5,30.3,457.80000000000007
2024-05-18,47.9,42.1,185.2,60.8,46.3,45.4,31.1,458.8
2024-05-19,46.3,42.4,179.3,62.1,45.5,46.8,31.3,453.70000000000005
2024-05-20,46.7,41.4,185.7,63.1,47.9,44.4,32.0,461.19999999999993
2024-05-21,46.3,42.5,188.4,61.8,48.2,47.0,32.2,466.4
2024-05-22,44.5,41.5,185.4,60.6,47.0,46.9,30.3,456.2
2024-05-23,45.6,40.7,182.7,59.9,47.5,46.2,31.0,453.59999999999997
2024-05-24,46.1,41.8,184.9,61.6,46.4,45.5,31.1,457.40000000000003
2024-05-25,45.9,41.4,184.3,63.0,47.9,45.9,30.3,458.7
2024-05-26,47.0,41.0,184.5,61.6,46.9,46.2,31.6,458.8
2024-05-27,47.2,40.4,178.2,62.4,47.1,45.4,31.2,451.8999999999999
2024-05-28,45.6,40.9,185.5,61.7,45.5,46.9,30.0,456.09999999999997
2024-05-29,47.2,40.2,180.9,61.5,47.4,47.0,30.7,454.9
2024-05-30,45.7,41.4,184.5,61.6,47.7,46.5,30.4,457.8
2024-05-31,46.4,39.2,186.2,62.3,47.7,45.7,31.3,458.79999999999995
2024-06-01,45.7,40.2,174.3,62.0,46.3,45.2,31.4,445.1
2024-06-02,44.8,41.3,185.6,61.2,48.8,45.3,30.1,457.1
2024-06-03,45.3,41.2,185.8,59.7,46.0,45.5,31.7,455.2
2024-06-04,44.5,40.0,182.2,62.9,45.2,46.5,30.6,451.9
2024-06-05,46.7,41.4,180.5,62.2,47.0,44.8,30.4,453.0
2024-06-06,47.2,39.6,184.4,59.4,46.0,46.7,29.6,452.90000000000003
2024-06-07,46.7,40.3,180.1,60.2,44.9,45.7,31.1,449.0
2024-06-08,45.6,40.7,181.1,62.8,46.4,46.1,30.7,453.4
2024-06-09,46.4,40.6,186.5,62.0,45.6,44.7,30.4,456.2
2024-06-10,44.0,40.9,177.3,60.7,46.2,46.4,30.8,446.3
2024-06-11,46.7,40.3,186.9,61.2,46.7,44.7,30.9,457.3999999999999
2024-06-12,47.4,41.0,186.9,61.8,48.1,46.9,30.1,462.20000000000005
2024-06-13,46.3,42.1,186.8,60.2,45.1,45.7,30.7,456.90000000000003
2024-06-14,45.2,40.7,186.2,58.7,46.0,45.2,31.1,453.1
2024-06-15,46.4,40.2,180.6,60.4,46.4,46.2,30.5,450.69999999999993
2024-06-16,45.6,42.3,182.0,61.1,45.8,45.9,30.6,453.3
