date,vizag_capacity_mmt,mangaluru_capacity_mmt,padur_capacity_mmt,total_spr_capacity_mmt,vizag_stock_mmt,mangaluru_stock_mmt,padur_stock_mmt,total_spr_stock_mmt,vizag_fill_pct,mangaluru_fill_pct,padur_fill_pct,overall_fill_pct,coverage_days,iea_compliant
2017-11-01,1.33,1.5,2.5,5.33,1.0703,1.3634,2.2109,4.6446,80.5,90.9,88.4,87.1,7.5,0
2017-12-01,1.33,1.5,2.5,5.33,1.073,1.3557,2.1914,4.6201,80.7,90.4,87.7,86.7,7.5,0
2018-01-01,1.33,1.5,2.5,5.33,1.0754,1.3694,2.1921,4.6369,80.9,91.3,87.7,87.0,7.5,0
2018-02-01,1.33,1.5,2.5,5.33,1.0616,1.3575,2.2141,4.6332,79.8,90.5,88.6,86.9,7.5,0
2018-03-01,1.33,1.5,2.5,5.33,1.0586,1.3456,2.2035,4.6077,79.6,89.7,88.1,86.4,7.5,0
2018-04-01,1.33,1.5,2.5,5.33,1.0694,1.3565,2.2173,4.6432,80.4,90.4,88.7,87.1,7.5,0
2018-05-01,1.33,1.5,2.5,5.33,1.0896,1.3711,2.2288,4.6895,81.9,91.4,89.2,88.0,7.6,0
2018-06-01,1.33,1.5,2.5,5.33,1.0943,1.3691,2.2281,4.6915,82.3,91.3,89.1,88.0,7.6,0
2018-07-01,1.33,1.5,2.5,5.33,1.0908,1.3721,2.2362,4.6991,82.0,91.5,89.4,88.2,7.6,0
2018-08-01,1.33,1.5,2.5,5.33,1.0924,1.3795,2.2451,4.717,82.1,92.0,89.8,88.5,7.6,0
2018-09-01,1.33,1.5,2.5,5.33,1.0834,1.3868,2.249,4.7192,81.5,92.5,90.0,88.5,7.7,0
2018-10-01,1.33,1.5,2.5,5.33,1.0857,1.3829,2.2714,4.74,81.6,92.2,90.9,88.9,7.7,0
2018-11-01,1.33,1.5,2.5,5.33,1.0736,1.3848,2.243,4.7014,80.7,92.3,89.7,88.2,7.6,0
2018-12-01,1.33,1.5,2.5,5.33,1.088,1.3926,2.2738,4.7544,81.8,92.8,91.0,89.2,7.7,0
2019-01-01,1.33,1.5,2.5,5.33,1.0951,1.3881,2.2592,4.7424,82.3,92.5,90.4,89.0,7.7,0
2019-02-01,1.33,1.5,2.5,5.33,1.0857,1.3708,2.2141,4.6706,81.6,91.4,88.6,87.6,7.6,0
2019-03-01,1.33,1.5,2.5,5.33,1.0899,1.37,2.235,4.6949,81.9,91.3,89.4,88.1,7.6,0
2019-04-01,1.33,1.5,2.5,5.33,1.0929,1.3559,2.2301,4.6789,82.2,90.4,89.2,87.8,7.6,0
2019-05-01,1.33,1.5,2.5,5.33,1.1047,1.3813,2.2476,4.7336,83.1,92.1,89.9,88.8,7.7,0
2019-06-01,1.33,1.5,2.5,5.33,1.1016,1.3852,2.2361,4.7229,82.8,92.3,89.4,88.6,7.7,0
2019-07-01,1.33,1.5,2.5,5.33,1.1232,1.4003,2.2534,4.7769,84.5,93.4,90.1,89.6,7.7,0
2019-08-01,1.33,1.5,2.5,5.33,1.1139,1.3997,2.2467,4.7603,83.8,93.3,89.9,89.3,7.7,0
2019-09-01,1.33,1.5,2.5,5.33,1.1173,1.4004,2.2284,4.7461,84.0,93.4,89.1,89.0,7.7,0
2019-10-01,1.33,1.5,2.5,5.33,1.1326,1.4123,2.2579,4.8028,85.2,94.2,90.3,90.1,7.8,0
2019-11-01,1.33,1.5,2.5,5.33,1.1293,1.4099,2.2442,4.7834,84.9,94.0,89.8,89.7,7.8,0
2019-12-01,1.33,1.5,2.5,5.33,1.1225,1.4114,2.2562,4.7901,84.4,94.1,90.2,89.9,7.8,0
2020-01-01,1.33,1.5,2.5,5.33,1.1202,1.409,2.2416,4.7708,84.2,93.9,89.7,89.5,7.7,0
2020-02-01,1.33,1.5,2.5,5.33,1.1268,1.4073,2.2617,4.7958,84.7,93.8,90.5,90.0,7.8,0
2020-03-01,1.33,1.5,2.5,5.33,1.1491,1.4279,2.3164,4.8934,86.4,95.2,92.7,91.8,7.9,0
2020-04-01,1.33,1.5,2.5,5.33,1.1773,1.4505,2.3718,4.9996,88.5,96.7,94.9,93.8,8.1,0
2020-05-01,1.33,1.5,2.5,5.33,1.2104,1.4719,2.41,5.0923,91.0,98.1,96.4,95.5,8.3,0
2020-06-01,1.33,1.5,2.5,5.33,1.2366,1.5,2.4576,5.1942,93.0,100.0,98.3,97.5,8.4,0
2020-07-01,1.33,1.5,2.5,5.33,1.2423,1.4993,2.4673,5.2089,93.4,100.0,98.7,97.7,8.4,0
2020-08-01,1.33,1.5,2.5,5.33,1.2409,1.4866,2.4723,5.1998,93.3,99.1,98.9,97.6,8.4,0
2020-09-01,1.33,1.5,2.5,5.33,1.2426,1.4896,2.4973,5.2295,93.4,99.3,99.9,98.1,8.5,0
2020-10-01,1.33,1.5,2.5,5.33,1.2373,1.4967,2.5,5.234,93.0,99.8,100.0,98.2,8.5,0
2020-11-01,1.33,1.5,2.5,5.33,1.256,1.5,2.5,5.256,94.4,100.0,100.0,98.6,8.5,0
2020-12-01,1.33,1.5,2.5,5.33,1.2585,1.4999,2.5,5.2584,94.6,100.0,100.0,98.7,8.5,0
2021-01-01,1.33,1.5,2.5,5.33,1.2711,1.5,2.5,5.2711,95.6,100.0,100.0,98.9,8.5,0
2021-02-01,1.33,1.5,2.5,5.33,1.267,1.4944,2.5,5.2614,95.3,99.6,100.0,98.7,8.5,0
2021-03-01,1.33,1.5,2.5,5.33,1.2733,1.4867,2.4825,5.2425,95.7,99.1,99.3,98.4,8.5,0
2021-04-01,1.33,1.5,2.5,5.33,1.2654,1.4874,2.4913,5.2441,95.1,99.2,99.7,98.4,8.5,0
2021-05-01,1.33,1.5,2.5,5.33,1.2591,1.4793,2.4767,5.2151,94.7,98.6,99.1,97.8,8.5,0
2021-06-01,1.33,1.5,2.5,5.33,1.2524,1.4582,2.4819,5.1925,94.2,97.2,99.3,97.4,8.4,0
2021-07-01,1.33,1.5,2.5,5.33,1.245,1.4515,2.4619,5.1584,93.6,96.8,98.5,96.8,8.4,0
2021-08-01,1.33,1.5,2.5,5.33,1.2458,1.4318,2.4694,5.147,93.7,95.5,98.8,96.6,8.3,0
2021-09-01,1.33,1.5,2.5,5.33,1.2444,1.4459,2.4758,5.1661,93.6,96.4,99.0,96.9,8.4,0
2021-10-01,1.33,1.5,2.5,5.33,1.2596,1.4623,2.4661,5.188,94.7,97.5,98.6,97.3,8.4,0
2021-11-01,1.33,1.5,2.5,5.33,1.2619,1.4538,2.4478,5.1635,94.9,96.9,97.9,96.9,8.4,0
2021-12-01,1.33,1.5,2.5,5.33,1.2635,1.4499,2.4315,5.1449,95.0,96.7,97.3,96.5,8.3,0
2022-01-01,1.33,1.5,2.5,5.33,1.2672,1.4432,2.4298,5.1402,95.3,96.2,97.2,96.4,8.3,0
2022-02-01,1.33,1.5,2.5,5.33,1.2638,1.4365,2.4113,5.1116,95.0,95.8,96.5,95.9,8.3,0
2022-03-01,1.33,1.5,2.5,5.33,1.2526,1.413,2.3946,5.0602,94.2,94.2,95.8,94.9,8.2,0
2022-04-01,1.33,1.5,2.5,5.33,1.2395,1.3894,2.3523,4.9812,93.2,92.6,94.1,93.5,8.1,0
2022-05-01,1.33,1.5,2.5,5.33,1.2356,1.3658,2.3434,4.9448,92.9,91.1,93.7,92.8,8.0,0
2022-06-01,1.33,1.5,2.5,5.33,1.2266,1.3522,2.3469,4.9257,92.2,90.1,93.9,92.4,8.0,0
2022-07-01,1.33,1.5,2.5,5.33,1.2332,1.3666,2.3574,4.9572,92.7,91.1,94.3,93.0,8.0,0
2022-08-01,1.33,1.5,2.5,5.33,1.2212,1.3711,2.3591,4.9514,91.8,91.4,94.4,92.9,8.0,0
2022-09-01,1.33,1.5,2.5,5.33,1.2237,1.3856,2.3745,4.9838,92.0,92.4,95.0,93.5,8.1,0
2022-10-01,1.33,1.5,2.5,5.33,1.2186,1.3761,2.3849,4.9796,91.6,91.7,95.4,93.4,8.1,0
2022-11-01,1.33,1.5,2.5,5.33,1.2174,1.3786,2.3882,4.9842,91.5,91.9,95.5,93.5,8.1,0
2022-12-01,1.33,1.5,2.5,5.33,1.2172,1.3938,2.3774,4.9884,91.5,92.9,95.1,93.6,8.1,0
2023-01-01,1.33,1.5,2.5,5.33,1.2055,1.3885,2.3926,4.9866,90.6,92.6,95.7,93.6,8.1,0
2023-02-01,1.33,1.5,2.5,5.33,1.2037,1.3863,2.3919,4.9819,90.5,92.4,95.7,93.5,8.1,0
2023-03-01,1.33,1.5,2.5,5.33,1.2211,1.3971,2.4145,5.0327,91.8,93.1,96.6,94.4,8.2,0
2023-04-01,1.33,1.5,2.5,5.33,1.214,1.4012,2.4158,5.031,91.3,93.4,96.6,94.4,8.2,0
2023-05-01,1.33,1.5,2.5,5.33,1.2189,1.4127,2.4342,5.0658,91.6,94.2,97.4,95.0,8.2,0
2023-06-01,1.33,1.5,2.5,5.33,1.2283,1.404,2.4338,5.0661,92.4,93.6,97.4,95.0,8.2,0
2023-07-01,1.33,1.5,2.5,5.33,1.2398,1.4037,2.454,5.0975,93.2,93.6,98.2,95.6,8.3,0
2023-08-01,1.33,1.5,2.5,5.33,1.2373,1.4129,2.4535,5.1037,93.0,94.2,98.1,95.8,8.3,0
2023-09-01,1.33,1.5,2.5,5.33,1.2435,1.4061,2.466,5.1156,93.5,93.7,98.6,96.0,8.3,0
2023-10-01,1.33,1.5,2.5,5.33,1.2484,1.3997,2.4925,5.1406,93.9,93.3,99.7,96.4,8.3,0
2023-11-01,1.33,1.5,2.5,5.33,1.2476,1.3963,2.5,5.1439,93.8,93.1,100.0,96.5,8.3,0
2023-12-01,1.33,1.5,2.5,5.33,1.2424,1.3912,2.5,5.1336,93.4,92.7,100.0,96.3,8.3,0
2024-01-01,1.33,1.5,2.5,5.33,1.2381,1.3922,2.5,5.1303,93.1,92.8,100.0,96.3,8.3,0
2024-02-01,1.33,1.5,2.5,5.33,1.2306,1.3885,2.5,5.1191,92.5,92.6,100.0,96.0,8.3,0
2024-03-01,1.33,1.5,2.5,5.33,1.2193,1.3909,2.5,5.1102,91.7,92.7,100.0,95.9,8.3,0
2024-04-01,1.33,1.5,2.5,5.33,1.2262,1.4017,2.5,5.1279,92.2,93.4,100.0,96.2,8.3,0
2024-05-01,1.33,1.5,2.5,5.33,1.2278,1.4063,2.5,5.1341,92.3,93.8,100.0,96.3,8.3,0
2024-06-01,1.33,1.5,2.5,5.33,1.222,1.4065,2.5,5.1285,91.9,93.8,100.0,96.2,8.3,0
2024-07-01,1.33,1.5,2.5,5.33,1.2328,1.4006,2.4811,5.1145,92.7,93.4,99.2,96.0,8.3,0
2024-08-01,1.33,1.5,2.5,5.33,1.2327,1.3969,2.48,5.1096,92.7,93.1,99.2,95.9,8.3,0
2024-09-01,1.33,1.5,2.5,5.33,1.2376,1.386,2.4654,5.089,93.1,92.4,98.6,95.5,8.3,0
2024-10-01,1.33,1.5,2.5,5.33,1.2328,1.3716,2.4699,5.0743,92.7,91.4,98.8,95.2,8.2,0
2024-11-01,1.33,1.5,2.5,5.33,1.2297,1.3657,2.4713,5.0667,92.5,91.0,98.9,95.1,8.2,0
2024-12-01,1.33,1.5,2.5,5.33,1.2426,1.3433,2.4719,5.0578,93.4,89.6,98.9,94.9,8.2,0
2025-01-01,1.33,1.5,2.5,5.33,1.2372,1.3432,2.4756,5.056,93.0,89.5,99.0,94.9,8.2,0
2025-02-01,1.33,1.5,2.5,5.33,1.2281,1.3482,2.4351,5.0114,92.3,89.9,97.4,94.0,8.1,0
2025-03-01,1.33,1.5,2.5,5.33,1.2328,1.3654,2.4408,5.039,92.7,91.0,97.6,94.5,8.2,0
2025-04-01,1.33,1.5,2.5,5.33,1.2269,1.3623,2.4644,5.0536,92.3,90.8,98.6,94.8,8.2,0
2025-05-01,1.33,1.5,2.5,5.33,1.2165,1.3599,2.4779,5.0543,91.5,90.7,99.1,94.8,8.2,0
2025-06-01,1.33,1.5,2.5,5.33,1.2266,1.37,2.4927,5.0893,92.2,91.3,99.7,95.5,8.3,0
