date,Iraq_avail_kmt,Saudi_Arabia_avail_kmt,Russia_avail_kmt,UAE_avail_kmt,USA_avail_kmt,Nigeria_avail_kmt,Spot_Market_avail_kmt,total_avail_kmt
2023-10-24,138.6,87.2,115.8,62.5,42.6,26.8,73.5,547.0
2023-10-25,112.3,92.5,147.9,64.5,38.0,27.4,76.1,558.7
2023-10-26,130.6,98.8,128.1,46.5,43.7,27.2,68.3,543.1999999999999
2023-10-27,116.2,101.7,158.1,56.5,43.1,27.6,87.9,591.1
2023-10-28,128.7,93.2,168.4,65.9,43.1,37.5,66.8,603.5999999999999
2023-10-29,119.2,112.2,143.3,55.0,36.5,32.4,82.6,581.2
2023-10-30,114.6,117.4,143.8,66.0,44.3,29.0,93.7,608.8000000000001
2023-10-31,130.2,98.7,176.1,64.4,31.2,29.1,81.9,611.5999999999999
2023-11-01,89.6,100.9,170.8,55.6,43.7,23.0,75.8,559.4
2023-11-02,115.4,88.4,158.8,54.0,40.9,26.9,88.8,573.1999999999999
2023-11-03,119.7,113.5,151.0,60.0,38.3,26.4,74.9,583.8
2023-11-04,123.8,118.0,177.2,61.8,33.2,30.9,78.2,623.1
2023-11-05,112.4,101.0,164.2,64.5,38.0,29.6,68.5,578.2
2023-11-06,96.2,84.9,144.6,59.3,44.2,28.1,76.0,533.3000000000001
2023-11-07,123.3,102.2,144.8,53.9,41.3,29.5,73.8,568.8
2023-11-08,105.2,100.4,136.8,72.2,42.4,32.4,72.5,561.9
2023-11-09,126.9,103.4,153.2,61.1,39.4,29.6,88.5,602.1
2023-11-10,123.8,101.5,148.5,63.6,40.9,30.2,80.0,588.5
2023-11-11,119.1,91.3,170.1,53.2,38.4,26.8,86.0,584.9
2023-11-12,137.7,94.8,155.1,49.7,28.8,30.4,73.4,569.9
2023-11-13,133.5,93.7,142.5,61.7,44.1,26.7,81.1,583.3
2023-11-14,107.0,90.5,168.7,66.9,45.3,29.5,78.3,586.2
2023-11-15,97.8,96.9,160.7,62.9,39.4,28.8,76.7,563.1999999999999
2023-11-16,136.0,105.9,176.8,62.2,38.8,26.9,77.5,624.1
2023-11-17,146.9,86.8,157.5,60.5,43.3,28.5,76.9,600.4
2023-11-18,110.6,99.4,134.8,59.7,42.3,23.0,100.5,570.3
2023-11-19,122.9,102.4,150.8,56.5,38.2,33.8,82.2,586.8000000000001
2023-11-20,107.9,95.3,178.8,60.9,35.9,28.1,72.9,579.8
2023-11-21,111.4,94.0,146.9,49.7,38.7,26.5,76.8,544.0
2023-11-22,154.8,110.2,160.2,63.2,37.6,27.5,79.9,633.4
2023-11-23,124.6,103.2,138.6,61.5,39.0,32.7,58.1,557.6999999999999
2023-11-24,120.5,91.0,160.5,65.7,48.6,31.2,70.2,587.7
2023-11-25,121.3,101.0,137.5,52.9,42.0,28.4,70.7,553.8
2023-11-26,104.6,103.6,154.0,53.3,36.8,29.6,85.1,567.0
2023-11-27,124.1,98.1,155.8,50.1,38.3,36.3,76.0,578.7
2023-11-28,142.0,108.0,157.2,53.3,38.6,25.6,69.2,593.9000000000001
2023-11-29,137.4,104.6,154.4,65.9,46.5,30.1,57.3,596.1999999999999
2023-11-30,113.7,103.5,170.5,50.9,41.6,26.2,75.4,581.8
2023-12-01,109.1,92.1,133.8,71.4,35.5,30.9,83.8,556.5999999999999
2023-12-02,127.8,115.7,146.6,56.5,39.4,26.0,74.4,586.4
2023-12-03,120.2,95.7,150.3,52.0,33.6,34.1,87.6,573.5000000000001
2023-12-04,118.4,94.1,177.4,55.8,38.3,30.7,72.2,586.9000000000001
2023-12-05,110.7,111.3,151.1,54.3,45.6,33.4,79.6,586.0
2023-12-06,129.6,100.1,174.3,56.5,36.5,28.5,73.1,598.6
2023-12-07,120.5,85.5,156.2,61.7,40.5,31.6,91.5,587.5
2023-12-08,119.3,107.1,154.5,56.2,41.6,29.1,78.6,586.4
2023-12-09,120.1,90.8,137.0,61.4,36.6,23.6,91.3,560.8
2023-12-10,124.6,91.3,149.8,64.4,42.1,23.8,90.3,586.3000000000001
2023-12-11,107.7,100.6,125.8,65.0,39.3,29.2,77.0,544.6
2023-12-12,107.0,100.7,169.5,61.3,35.3,29.7,72.5,576.0
2023-12-13,89.1,104.7,155.7,63.0,40.2,30.8,73.0,556.5
2023-12-14,123.7,93.0,162.7,70.7,40.2,30.0,87.6,607.9
2023-12-15,142.7,95.6,132.7,56.9,42.0,27.9,82.8,580.5999999999999
2023-12-16,132.2,101.0,156.7,64.3,39.5,28.6,86.3,608.5999999999999
2023-12-17,119.5,106.9,161.0,64.9,36.6,27.2,70.8,586.9
2023-12-18,106.1,98.8,150.3,49.5,42.2,36.4,70.5,553.8
2023-12-19,115.3,112.3,144.3,54.1,40.4,30.5,75.0,571.9
2023-12-20,112.0,95.0,142.9,64.6,39.1,32.4,86.0,572.0
2023-12-21,123.8,106.5,123.6,58.6,37.4,31.8,87.2,568.9
2023-12-22,116.5,102.6,144.0,55.3,36.5,29.9,74.1,558.9
2023-12-23,124.9,102.8,146.5,64.6,41.3,29.1,85.1,594.3
2023-12-24,114.7,107.4,136.3,70.8,45.0,31.6,82.4,588.2
2023-12-25,103.3,111.7,168.6,50.3,34.7,32.4,86.4,587.4
2023-12-26,140.1,106.4,160.2,61.4,37.6,30.5,85.6,621.8000000000001
2023-12-27,103.4,94.1,149.8,58.2,39.7,31.1,78.7,555.0
2023-12-28,104.7,91.3,171.2,59.2,36.5,30.8,76.9,570.6
2023-12-29,110.7,82.4,158.6,68.0,37.2,28.6,87.4,572.9000000000001
2023-12-30,112.9,100.9,152.1,57.0,48.7,28.8,69.6,570.0
2023-12-31,129.1,88.7,160.5,64.8,36.6,25.2,80.9,585.8000000000001
2024-01-01,124.3,91.2,139.2,60.9,37.7,34.8,82.7,570.8
2024-01-02,114.1,114.8,173.9,62.4,40.5,32.0,78.7,616.4
2024-01-03,125.7,94.7,138.7,64.2,45.3,28.9,62.0,559.5
2024-01-04,146.4,85.4,158.9,59.9,39.4,36.5,78.8,605.3
2024-01-05,124.4,104.6,168.1,56.7,44.9,32.5,83.1,614.3000000000001
2024-01-06,122.6,102.7,163.4,63.4,42.5,33.0,62.3,589.9
2024-01-07,128.5,97.9,143.3,62.6,38.7,30.5,82.9,584.4000000000001
2024-01-08,109.2,91.8,144.8,66.1,37.5,33.6,85.2,568.2
2024-01-09,153.5,95.4,170.4,65.0,43.1,31.3,79.1,637.8
2024-01-10,138.2,94.7,137.6,56.8,42.1,32.7,80.1,582.2
2024-01-11,113.1,98.9,155.7,61.1,34.2,29.3,86.2,578.5
2024-01-12,126.7,95.9,156.1,64.0,37.6,29.2,76.8,586.3000000000001
2024-01-13,94.8,96.0,149.2,62.0,36.2,29.5,92.8,560.5
2024-01-14,123.9,107.9,148.9,63.1,43.0,27.2,97.4,611.4000000000001
2024-01-15,120.0,98.9,149.8,56.4,39.1,28.3,81.6,574.1
2024-01-16,124.6,93.7,144.9,67.7,33.0,26.9,96.2,587.0
2024-01-17,112.2,97.4,145.7,72.6,42.9,28.3,66.3,565.4
2024-01-18,133.0,95.5,174.1,54.8,43.9,31.3,79.7,612.3000000000001
2024-01-19,108.7,78.0,142.4,57.2,40.0,31.0,75.8,533.1
2024-01-20,134.4,97.2,161.5,57.5,35.5,24.0,71.8,581.9
2024-01-21,115.0,110.8,144.3,62.4,38.0,31.3,70.6,572.4
2024-01-22,97.7,96.1,163.1,58.9,40.3,29.7,82.7,568.5
2024-01-23,114.0,87.5,163.4,53.6,44.6,28.9,90.8,582.8
2024-01-24,141.4,96.9,144.7,60.1,43.6,31.0,82.7,600.4000000000001
2024-01-25,100.4,95.6,146.2,54.5,39.5,32.0,77.0,545.2
2024-01-26,107.1,109.5,162.4,62.0,40.1,28.4,75.2,584.7
2024-01-27,123.8,95.3,153.5,71.1,44.4,27.1,84.2,599.4000000000001
2024-01-28,108.0,94.1,130.0,58.3,39.1,30.1,92.8,552.4000000000001
2024-01-29,114.5,107.4,170.9,55.1,40.7,30.6,64.7,583.9000000000001
2024-01-30,110.3,91.6,147.9,64.0,39.2,30.2,79.1,562.3
2024-01-31,127.6,90.3,138.7,57.5,39.0,29.6,83.8,566.5
2024-02-01,116.9,94.8,143.1,55.4,36.6,28.7,74.0,549.5
2024-02-02,134.4,106.4,136.8,60.3,39.7,29.7,86.1,593.4
2024-02-03,100.3,96.4,141.6,72.4,32.7,34.7,83.3,561.3999999999999
2024-02-04,137.1,99.5,137.1,62.4,44.5,28.4,69.0,578.0
2024-02-05,129.2,98.6,119.7,53.4,43.0,23.9,73.5,541.3
2024-02-06,122.1,95.5,133.6,60.8,42.5,27.9,93.8,576.1999999999999
2024-02-07,124.6,98.1,169.0,65.8,44.0,30.9,83.4,615.8
2024-02-08,113.9,107.7,125.7,65.2,40.3,32.2,95.4,580.4
2024-02-09,108.3,104.2,137.1,64.6,40.1,32.8,85.9,573.0000000000001
2024-02-10,140.5,86.6,131.7,66.0,37.5,33.1,84.9,580.3
2024-02-11,118.3,105.7,133.5,63.8,42.5,30.3,80.3,574.4
2024-02-12,105.7,110.0,150.6,55.1,48.0,30.4,85.6,585.4
2024-02-13,125.0,93.6,159.0,57.7,36.2,36.9,85.3,593.6999999999999
2024-02-14,122.5,104.5,169.0,47.2,43.9,31.6,73.6,592.3
2024-02-15,129.5,75.9,154.8,62.8,38.2,23.4,75.7,560.3000000000001
2024-02-16,114.1,100.5,145.7,57.0,33.9,31.8,83.6,566.5999999999999
2024-02-17,108.9,91.9,141.6,60.5,41.1,26.6,92.2,562.8000000000001
2024-02-18,106.5,98.6,156.5,59.2,44.7,32.6,80.8,578.9
2024-02-19,106.8,106.2,148.0,61.4,39.0,30.5,76.5,568.4
2024-02-20,127.9,92.1,146.2,65.0,36.6,30.0,69.6,567.4
2024-02-21,125.4,94.1,158.6,70.6,37.0,24.9,77.1,587.7
2024-02-22,130.0,103.2,142.1,56.2,45.0,31.7,79.1,587.3
2024-02-23,125.3,105.7,146.7,46.1,42.6,29.4,79.4,575.2
2024-02-24,113.4,110.7,174.7,54.8,39.2,32.6,86.3,611.6999999999999
2024-02-25,147.9,123.1,162.5,63.3,36.5,27.2,65.6,626.1
2024-02-26,117.7,81.4,162.8,53.0,46.7,30.2,77.5,569.3
2024-02-27,98.8,115.7,179.1,56.8,46.4,25.7,76.6,599.1
2024-02-28,129.8,112.4,157.5,54.1,41.1,29.3,86.9,611.1
2024-02-29,115.3,100.4,131.8,59.5,29.8,28.5,72.5,537.8
2024-03-01,116.4,92.8,143.4,62.8,40.5,26.0,74.7,556.6
2024-03-02,117.1,109.9,146.7,44.4,38.3,30.3,66.9,553.6
2024-03-03,124.0,111.3,135.4,69.5,48.2,25.3,87.2,600.9000000000001
2024-03-04,105.7,97.3,161.7,59.0,41.8,24.9,69.3,559.6999999999999
2024-03-05,114.7,131.5,154.5,59.0,35.3,27.4,71.9,594.3
2024-03-06,120.0,90.2,158.9,60.4,38.0,29.0,73.7,570.2
2024-03-07,135.5,87.8,166.1,64.1,34.3,32.1,66.7,586.6
2024-03-08,109.6,81.1,146.8,64.9,48.0,33.4,76.4,560.1999999999999
2024-03-09,112.8,94.6,156.3,68.6,41.7,32.5,78.1,584.5999999999999
2024-03-10,134.0,101.3,153.7,54.8,46.4,26.0,72.2,588.4000000000001
2024-03-11,127.1,120.8,147.3,62.4,37.5,32.8,81.4,609.3
2024-03-12,121.9,97.5,141.3,63.3,47.5,29.4,90.9,591.8000000000001
2024-03-13,111.0,97.1,165.8,49.9,36.7,29.9,84.3,574.6999999999999
2024-03-14,132.5,91.3,148.9,60.1,37.2,26.9,58.8,555.7
2024-03-15,119.5,89.8,149.8,55.4,43.7,40.0,90.9,589.1
2024-03-16,120.9,106.5,146.3,62.0,41.3,30.1,83.3,590.4000000000001
2024-03-17,120.9,93.7,190.0,59.9,41.8,34.3,77.7,618.3000000000001
2024-03-18,121.1,99.4,137.4,62.6,30.6,33.9,84.3,569.3
2024-03-19,130.0,102.2,160.2,56.1,31.2,29.3,73.0,582.0
2024-03-20,116.3,105.0,138.8,54.3,40.8,28.4,81.3,564.9
2024-03-21,92.0,101.6,150.8,53.9,44.0,35.3,86.5,564.0999999999999
2024-03-22,115.7,96.0,140.4,58.7,37.4,29.8,88.0,566.0
2024-03-23,119.2,109.6,169.3,55.0,40.3,34.6,71.9,599.9
2024-03-24,121.2,105.5,125.5,53.7,40.6,30.2,88.4,565.1
2024-03-25,111.3,117.3,150.5,62.5,42.1,35.7,86.1,605.5000000000001
2024-03-26,103.7,85.1,171.0,53.5,40.6,25.5,78.8,558.2
2024-03-27,126.2,79.5,167.9,64.1,43.1,28.9,65.1,574.8000000000001
2024-03-28,128.9,102.4,141.5,63.0,39.6,29.0,79.1,583.5
2024-03-29,99.8,91.7,149.4,58.3,44.1,28.0,82.7,554.0
2024-03-30,116.2,88.2,144.4,57.2,43.3,27.6,89.3,566.2
2024-03-31,110.4,87.9,125.3,68.3,35.2,34.2,72.4,533.7
2024-04-01,123.4,88.2,152.6,60.4,43.7,33.0,85.1,586.4
2024-04-02,115.3,100.0,148.4,69.4,30.8,29.6,82.9,576.4000000000001
2024-04-03,101.7,109.2,121.5,68.2,42.7,25.1,83.8,552.1999999999999
2024-04-04,133.7,111.6,152.1,64.0,39.4,34.3,88.1,623.1999999999999
2024-04-05,125.0,90.8,130.0,64.4,43.8,26.2,78.2,558.4000000000001
2024-04-06,114.7,103.2,128.9,60.0,44.8,28.0,93.4,573.0
2024-04-07,107.5,99.0,148.6,53.3,39.4,29.3,85.6,562.7
2024-04-08,105.6,87.8,169.6,54.0,37.8,30.1,74.6,559.5
2024-04-09,116.8,96.7,152.6,60.3,44.7,35.7,79.5,586.3
2024-04-10,96.9,113.5,143.5,54.0,41.8,26.6,77.8,554.1
2024-04-11,140.5,97.3,142.9,61.4,36.8,27.6,84.2,590.7
2024-04-12,111.4,97.1,170.0,60.2,42.1,27.4,72.7,580.9
2024-04-13,119.2,120.8,125.0,60.6,46.6,25.8,83.9,581.9000000000001
2024-04-14,114.9,114.8,127.5,64.4,40.9,29.8,81.3,573.6
2024-04-15,122.4,114.2,119.4,64.9,39.9,26.5,70.9,558.1999999999999
2024-04-16,130.8,101.0,144.3,63.8,40.1,25.0,91.4,596.4000000000001
2024-04-17,88.1,108.3,164.3,61.5,38.9,28.3,86.6,576.0
2024-04-18,128.3,106.8,113.1,73.1,46.2,28.8,71.5,567.8000000000001
2024-04-19,118.4,107.4,127.3,59.3,36.0,30.6,83.4,562.4000000000001
2024-04-20,133.0,109.6,125.8,72.0,40.1,30.7,78.8,590.0
2024-04-21,124.8,101.0,136.1,62.7,41.3,29.2,76.6,571.6999999999999
2024-04-22,101.3,83.7,147.1,63.9,47.3,34.2,81.4,558.9
2024-04-23,105.2,113.2,153.7,57.7,39.0,31.5,89.5,589.8
2024-04-24,134.4,117.4,149.6,69.6,41.0,28.5,78.5,619.0
2024-04-25,129.8,103.3,132.4,57.6,42.0,31.3,78.6,575.0
2024-04-26,116.6,125.0,153.5,70.9,41.9,27.8,85.8,621.4999999999999
2024-04-27,127.9,108.0,167.1,59.1,45.6,28.5,78.5,614.7
2024-04-28,112.6,94.6,139.1,60.7,41.4,30.5,75.3,554.1999999999999
2024-04-29,131.8,89.2,156.7,52.7,40.2,30.0,80.9,581.5
2024-04-30,116.6,107.2,159.5,53.9,38.7,27.8,91.5,595.2
2024-05-01,110.6,98.4,156.7,63.4,39.6,28.2,88.0,584.9
2024-05-02,122.0,108.4,160.2,60.1,37.8,30.3,82.2,601.0000000000001
2024-05-03,117.0,108.7,155.7,61.8,34.8,31.1,80.7,589.8000000000001
2024-05-04,126.0,104.5,137.1,66.1,44.8,31.0,84.9,594.4000000000001
2024-05-05,114.7,107.4,156.1,67.9,39.5,30.7,73.4,589.7
2024-05-06,118.8,113.4,148.5,55.0,45.7,26.7,80.9,589.0
2024-05-07,150.1,94.4,167.5,55.4,39.9,32.8,84.6,624.6999999999999
2024-05-08,131.3,95.5,156.9,64.9,35.8,27.6,63.7,575.7
2024-05-09,116.5,91.9,180.8,57.4,35.4,28.5,81.3,591.8
2024-05-10,122.1,108.4,150.9,53.7,33.8,30.3,92.0,591.2
2024-05-11,106.4,78.3,162.5,54.6,39.0,29.5,83.9,554.2
2024-05-12,137.9,99.4,143.6,65.4,42.8,34.2,93.6,616.9
2024-05-13,118.0,106.8,150.3,59.3,42.8,27.0,80.4,584.6
2024-05-14,132.7,91.5,138.8,64.6,40.3,28.4,75.5,571.8
2024-05-15,131.8,100.8,162.7,69.0,40.3,32.1,74.6,611.3000000000001
2024-05-16,130.2,78.5,155.0,59.0,34.2,27.5,70.4,554.8
2024-05-17,130.2,91.1,182.3,65.3,42.3,31.5,79.9,622.6
2024-05-18,131.9,101.9,146.8,56.2,38.3,35.4,70.2,580.7
2024-05-19,144.1,116.0,183.6,64.5,44.2,27.3,86.0,665.7
2024-05-20,125.2,88.7,149.8,56.3,40.5,29.2,75.3,565.0
2024-05-21,126.0,96.1,143.5,55.0,42.5,25.9,68.5,557.5
2024-05-22,96.4,92.8,147.7,58.5,35.9,28.8,97.8,557.9
2024-05-23,112.8,91.9,135.2,65.8,40.7,27.7,85.4,559.5
2024-05-24,105.5,96.8,155.5,54.9,38.2,27.6,80.9,559.4
2024-05-25,123.7,99.2,131.3,61.5,39.5,24.3,76.8,556.3000000000001
2024-05-26,128.6,98.0,170.6,55.7,42.9,23.7,79.9,599.4
2024-05-27,126.8,92.4,169.0,54.6,42.3,30.7,89.0,604.8000000000001
2024-05-28,103.7,100.1,143.7,67.3,44.6,23.4,71.2,554.0
2024-05-29,134.8,89.8,170.8,57.3,35.0,29.7,76.1,593.5000000000001
2024-05-30,127.4,108.9,149.6,68.6,48.0,29.5,70.3,602.3
2024-05-31,119.9,105.6,138.9,56.9,45.3,29.3,71.5,567.4
2024-06-01,106.3,104.4,175.9,67.0,39.2,31.6,59.7,584.1
2024-06-02,121.6,100.3,189.9,63.4,31.5,32.2,67.1,606.0
2024-06-03,125.8,103.7,149.8,51.3,37.5,26.1,75.4,569.6
2024-06-04,133.4,121.2,141.3,62.8,40.2,31.9,82.5,613.3000000000001
2024-06-05,110.6,80.0,171.4,61.2,35.1,31.9,74.7,564.9
2024-06-06,115.6,92.6,162.0,55.6,33.4,36.4,77.7,573.3
2024-06-07,110.7,103.4,167.8,65.6,36.9,29.5,87.4,601.3
2024-06-08,124.2,104.9,140.9,66.1,38.8,31.5,75.6,582.0
2024-06-09,118.4,105.1,166.2,63.0,37.1,32.5,80.0,602.3
2024-06-10,119.3,105.7,157.1,59.7,41.4,30.9,81.9,596.0
2024-06-11,112.5,105.4,161.1,71.3,41.9,34.6,97.3,624.0999999999999
2024-06-12,130.8,88.9,135.8,62.8,41.7,34.1,82.5,576.6
2024-06-13,131.7,79.5,143.4,66.8,42.1,30.2,74.4,568.1
2024-06-14,129.3,105.9,169.1,62.9,42.7,31.2,74.9,616.0
2024-06-15,100.7,114.9,165.8,71.3,43.1,33.1,94.6,623.5000000000001
2024-06-16,124.4,94.6,160.3,61.3,42.3,30.9,97.7,611.5000000000001
2024-06-17,128.3,98.3,164.4,63.3,39.4,30.0,74.1,597.8000000000001
2024-06-18,120.7,96.4,136.9,75.0,40.8,26.9,91.4,588.1
2024-06-19,125.6,89.0,155.4,63.9,49.4,26.1,73.0,582.4
2024-06-20,134.0,84.5,134.9,66.1,34.9,28.9,85.0,568.3
2024-06-21,128.4,97.4,115.0,61.5,42.0,26.7,86.3,557.3
