Scenario ID,Current Risk Score,Conflict Score,Weather Score,Sanction Score,Port Congestion Score
46,27.92,90.61,13.77,5.43,1.85
47,57.89,14.36,65.79,72.75,78.65
48,27.4,24.37,30.59,48.31,6.32
49,67.71,61.11,98.37,36.08,75.28
50,37.75,50.0,12.78,58.22,29.99
51,46.83,3.44,63.49,85.89,34.48
52,70.25,39.03,89.1,81.36,71.5
53,48.5,24.88,91.02,15.44,62.68
54,34.98,2.88,64.37,27.71,44.97
55,50.55,34.53,17.28,62.2,88.2
56,63.33,95.91,19.23,71.74,66.43
57,49.94,34.34,1.91,68.98,94.55
58,44.8,63.21,43.53,52.52,19.96
59,63.01,75.05,74.64,14.55,87.8
60,45.31,26.92,98.23,38.29,17.79
61,35.99,35.17,44.02,6.93,57.82
62,47.67,59.76,73.89,2.92,54.12
63,43.04,5.29,70.11,5.57,91.17
64,44.54,70.21,50.74,44.15,13.07
65,51.63,29.1,86.9,90.45,0.07
66,50.35,59.41,71.93,61.87,8.17
67,44.07,21.77,25.03,83.17,46.32
68,73.94,48.68,93.49,63.71,89.87
69,49.86,45.65,14.94,92.99,45.87
70,25.08,18.16,30.24,5.08,46.83
71,71.11,85.31,93.36,93.26,12.52
72,40.61,38.21,2.82,85.52,35.88
73,52.06,63.11,71.49,42.98,30.64
74,67.39,96.22,96.45,28.94,47.96
75,37.27,97.28,0.49,41.27,10.05
76,29.04,50.92,2.47,40.69,22.07
77,79.39,53.33,99.6,80.05,84.56
78,45.22,63.53,4.16,20.68,92.51
79,36.79,36.61,10.36,70.24,29.95
80,63.32,26.89,99.8,85.81,40.79
81,60.1,98.03,65.01,74.2,3.15
82,56.94,12.16,63.31,89.9,62.37
83,30.83,13.4,11.58,84.42,13.93
84,32.76,52.02,3.71,8.07,67.23
85,51.5,68.92,34.15,21.56,81.37
86,46.88,21.71,54.2,96.82,14.79
87,51.71,94.09,18.29,56.74,37.7
88,65.52,96.49,27.35,39.97,98.29
89,49.96,53.65,50.26,25.78,70.14
90,25.12,1.44,4.95,59.94,34.17
91,84.71,95.33,90.32,71.37,81.81
92,44.22,66.73,12.56,76.55,21.02
93,63.48,32.34,81.92,53.65,85.99
94,38.69,21.3,60.78,8.38,64.31
95,41.13,76.25,58.49,26.62,3.13
96,47.07,11.94,62.23,93.44,20.65
97,69.79,73.5,86.65,52.09,66.93
98,34.33,81.5,26.07,29.69,0.06
99,68.11,96.31,91.75,76.46,7.91
100,29.54,44.75,10.19,1.59,61.62
101,66.43,96.08,90.29,69.68,9.66
102,53.99,27.42,32.01,76.32,80.22
103,28.42,38.51,41.79,4.45,28.91
104,46.87,45.13,11.7,45.33,85.32
105,33.16,58.13,7.89,19.17,47.45
106,45.85,36.15,35.87,52.93,58.44
107,57.05,79.69,34.1,80.55,33.86
108,53.3,5.54,55.42,58.79,93.45
109,78.92,72.61,91.78,90.83,60.46
110,70.92,52.78,55.74,97.83,77.32
111,37.56,10.63,77.84,17.05,44.74
112,51.69,21.05,68.96,87.73,29.04
113,34.54,8.2,29.85,67.24,32.88
114,30.9,27.81,18.44,49.75,27.59
115,42.73,73.1,7.66,66.4,23.76
116,61.09,48.93,28.61,72.28,94.53
117,69.54,91.71,58.34,46.26,81.83
118,52.92,68.33,18.36,82.09,42.89
119,31.44,18.9,28.18,26.75,51.92
120,26.62,23.44,12.36,12.37,58.33
121,30.45,73.48,32.15,3.47,12.72
122,47.5,91.47,49.35,45.36,3.8
123,39.22,72.86,52.81,20.21,11.01
124,67.22,38.34,83.72,86.53,60.28
125,52.44,72.75,11.52,58.81,66.7
126,39.73,20.07,88.02,19.5,31.35
127,51.76,62.06,63.84,69.94,11.2
128,70.87,84.95,53.28,47.13,98.11
129,42.75,74.04,11.8,75.65,9.52
130,39.99,2.75,40.36,99.36,17.49
131,51.9,67.26,17.34,72.48,50.54
132,65.6,68.0,20.29,74.56,99.56
133,52.45,66.57,49.35,92.32,1.59
134,53.26,72.99,88.87,6.17,45.01
135,43.09,20.47,56.65,64.95,30.26
136,31.71,46.0,27.93,36.94,15.95
137,58.74,88.56,1.0,88.24,57.17
138,51.54,33.17,72.31,50.78,49.91
139,18.91,11.01,38.95,24.11,1.57
140,19.98,36.01,8.98,25.68,9.25
141,32.55,10.09,19.9,99.98,0.22
142,44.85,63.87,14.12,92.06,9.36
143,61.53,95.51,61.09,0.13,89.4
144,61.96,52.17,26.27,76.73,92.67
145,56.75,48.37,31.56,78.89,68.18
146,68.91,88.88,69.25,24.35,93.17
147,36.47,10.48,26.79,52.02,56.57
148,39.1,1.53,78.06,36.16,40.64
149,35.31,80.94,37.93,4.72,17.64
150,47.11,95.59,7.04,35.49,50.32
151,34.55,49.33,0.4,50.12,38.38
152,47.62,97.21,15.92,35.42,41.95
153,37.33,39.07,66.58,21.55,22.11
154,45.35,72.92,50.03,41.52,16.92
155,21.16,18.75,1.06,9.14,55.68
156,40.56,89.19,28.72,32.77,11.56
157,50.41,38.86,3.72,91.76,67.31
158,71.66,99.07,88.28,47.3,51.97
159,40.16,19.06,46.2,90.3,5.09
160,76.12,86.36,34.09,89.95,94.09
161,65.59,67.09,66.44,45.28,83.55
162,74.14,96.16,77.51,62.19,60.68
163,67.59,84.95,54.12,80.39,50.89
164,25.81,6.24,38.39,44.44,14.16
165,25.65,10.25,53.55,8.51,30.29
166,85.49,74.46,96.44,71.79,99.26
167,59.16,69.83,29.38,67.21,70.22
168,27.86,37.17,1.77,70.32,2.17
169,46.61,63.12,16.36,56.56,50.39
170,45.65,1.35,36.29,60.11,84.86
171,60.43,88.86,48.38,72.84,31.65
172,35.33,34.22,19.45,56.19,31.46
173,45.93,8.44,68.5,70.78,36.0
174,40.35,7.67,42.63,44.23,66.87
175,52.67,31.54,68.26,87.15,23.75
176,51.35,97.89,38.64,26.73,42.15
177,34.92,9.44,12.57,41.44,76.24
178,58.56,90.03,66.48,10.52,67.2
179,78.37,63.54,80.58,82.52,86.82
180,59.49,41.41,69.79,26.83,99.93
181,27.75,17.53,1.01,14.88,77.59
182,69.22,44.68,44.75,95.5,91.96
183,56.87,31.12,20.91,84.85,90.6
184,55.72,54.16,62.94,25.69,80.08
185,52.79,63.21,50.35,6.01,91.59
186,52.3,61.55,19.27,60.64,67.75
187,69.33,52.58,71.81,58.15,94.78
188,25.59,5.37,10.62,17.37,69.02
189,69.47,64.56,89.21,73.29,50.84
190,62.95,99.18,26.61,83.32,42.68
191,53.76,64.87,72.73,63.38,14.05
192,57.43,44.3,56.14,84.9,44.36
193,67.6,91.87,44.04,54.88,79.63
194,68.16,58.31,96.02,66.03,52.27
195,37.12,2.36,41.37,29.92,74.81
196,18.22,20.83,20.52,18.95,12.56
197,67.68,31.1,88.59,77.49,73.53
198,52.29,79.73,26.94,88.74,13.73
199,43.9,33.63,58.67,10.29,73.01
200,46.14,38.72,78.44,49.29,18.09
